,Trident (layout engine),Tasman (layout engine),Gecko (layout engine),WebKit,KHTML,Presto (layout engine),ICab
caption,Yes,Yes,Yes,Yes,Yes,Yes,Yes
table,,,,,,,
td,,,,,,,
th,,,,,,,
tr,,,,,,,
col,,?,,,,,
colgroup,,,,,,,
tbody,Yes,,,,
thead,,,,,
tfoot,,?,,,,,
