Format,Languages
" split(/ separator /,  string «,  limit ») ",Perl 5
" split( separator ,  string «,  limit »)    string .split( separator , « limit ») ",Raku (programming language)
" explode( separator ,  string «,  limit ») ",PHP
"  string .split( separator «,  limit -1») ",Python (programming language)
"  string .split( separator «,  limit ») "," JavaScript, JavaScript, JavaScript "
" string:tokens( string ,  sepchars ) ",Erlang (programming language)
" strings.Split( string ,  separator ) strings.SplitN( string ,  separator ,  limit ) ",Go (programming language)
(string-tokenize  string «  charset «  start «  end »»»),Scheme (programming language) (SRFI 13)
" Split( string ,  sepchars «,  limit ») ",Visual Basic
"  string .Split( sepchars «,  limit «,  options »») "," Visual Basic .NET, Visual Basic .NET, Visual Basic .NET "
"  string  -split  separator «,  limit «,  options »» ",Windows PowerShell
Str.split (Str.regexp_string  separator )  string,OCaml
" std.string.split( string ,  separator ) ",D (programming language)
[ string  componentsSeparatedByString: separator ],Objective-C (NSString * only)
string .componentsSeparatedByString( separator ),Swift (programming language) (Foundation)
" TStringList.Delimiter, TStringList.DelimitedText ",Object Pascal
" StringSplit[ string ,  separator «,  limit »] ",Mathematica
"  string .split«( sepchars «,  limit «,  options »»)» ",Cobra (programming language)
split  string separator,Tcl
( separator ≠ string )⊂ string  or  separator (≠⊆⊢) string  in APL2 and Dyalog APL 16.0 respectively,APL (programming language)
