Card family,Standards organizations,Varieties,Entry date,Maximum commercially available capacity,Picture[1],Main features
CompactFlash,SanDisk,I,1994,512 Gigabyte (CF5 128*250 bytes),//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Compactflash-512mb.png/134px-Compactflash-512mb.png," Thinner (3.3 mm), flash only, now up to 512 Gigabyte, although standard goes up to 128 Gigabyte since CF 5.0Gigabyte "
,,II,,,," Thicker (5.0 mm), older flash, but usually Microdrive, up to 128 PiBMicrodrive "
CFexpress,CompactFlash Association,1.0,2017,1TB,//upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Delkin_CFexpress.png/93px-Delkin_CFexpress.png," XQD form factor (38.5 mm × 29.8 mm), PCIe 3.0 x2 (2,0 GB/s), NVMe "
,,-,-,-,-," PCIe 3.0 x8 (8,0 GB/s), NVMe "
SmartMedia,Toshiba,3.3/5 V,1995,128 MB,//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Smartmedia_card.jpg/115px-Smartmedia_card.jpg," Very slim (45.0×37.0×0.76 mm), no Wear leveling controller, up to 128 MB. This particular example shows the write protect sticker (the silver disc). "
MultiMediaCard," Siemens AG, Siemens AG ",MultiMediaCard,1997,16 GB,//upload.wikimedia.org/wikipedia/commons/thumb/7/78/MMC.png/75px-MMC.png," Slim and small (24×32×1.4 mm), up to 16 GB "
,,RS-MMC/MMC Mobile,2003/2005,16 GB,//upload.wikimedia.org/wikipedia/commons/thumb/5/58/RS-MMC.png/75px-RS-MMC.png," Compact (24×18×1.4 mm), up to 16 GB "
,,MMCplus,2005,16 GB,//upload.wikimedia.org/wikipedia/commons/thumb/1/18/MMCplus.jpg/85px-MMCplus.jpg," Compact (24×32×1.4 mm), swifter, optional DRM, up to 16 GB "
,,MMCmicro,2005,4 GB,//upload.wikimedia.org/wikipedia/commons/2/25/Mmc-micro.PNG," Subcompact (14×12×1.1 mm), optional DRM, 16 MB to 4 GB "
Secure Digital," Panasonic, Panasonic, Panasonic, Panasonic ",Secure Digital,1999,4 GB,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Secure_Digital_Kingston_512MB.png/75px-Secure_Digital_Kingston_512MB.png," Small (32×24×2.1 mm), DRM, up to 4 GB. (2 GB and 4 GB cards use larger block sizes and may not be compatible with some host devices. See Secure digital) "
