Model,Launch,Microarchitecture,Code name,Fab (nm),Computer bus Computer bus,Clock rate,,Core config1,Fillrate,,Memory,,,,Processing power (GFLOPS),,Application programming interface compliance (version),,,,TDP (Watts),Notes
,,,,,,Core (MHz),Memory (MHz),,Pixel (Pixel/s),Texture (Texel (graphics)/s),Size (Gibibyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit),Single precision floating-point format,Double precision floating-point format,Direct3D,OpenGL,OpenCL,Vulkan (API),,
FirePro D300[212]," January 18, 2014 ",Southern Islands,Pitcairn XT GL,28,PCIe 3.0 x16,850,1270,1280:80:32:20,,,2,162.6,PCIe 3.0 x16,256,2176,136,11.1,4.6,1.2,1.1.101,150,
FirePro D500[213]," January 18, 2014 ",,Tahiti LE GL,,,725,1270,1536:96:32:24,,,3,243.8,,384,2227,556.8,,,,,274,
FirePro D700[214]," January 18, 2014 ",,Tahiti XT GL,,,850,1370,2048:128:32:32,,,6,263,,,3482,870.4,,,,,,
