Can Target:,Changing default policy to accept/reject (by issuing a single rule),IP destination address(es),IP source address(es),TCP/UDP destination port(s),TCP/UDP source port(s),Ethernet MAC destination address,Ethernet MAC source address,Inbound firewall (ingress),Outbound firewall (egress)
Trend Micro Internet Security,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Vyatta,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Windows Firewall,No,No,Yes,Partial[a],No,No,No,Yes,No
Windows Firewall,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Windows Firewall,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
WinGate,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
Zeroshell,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Zorp firewall,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
PfSense,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
IPFire,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
