First success,Low Earth orbit,Geostationary transfer orbit / Geostationary transfer orbit,Notes
11 Feb 1970,Japan Japan (26 kg),,First launch was 1966 (failed 4 times).
24 Apr 1970,China China (0.3 t),,First launch failed in 1969.
26 Jul 1975,China China (2.5 t),,Suborbital flight was performed in 1972. ChinaChina (LEO 2t) failed in 1974.
12 Aug 1986,Japan Japan Japan (LEO 3.2 t / GTO 1.1 t),,First stage was a license-built Delta (rocket family) rocket.
16 Jul 1990,China China (LEO 9.2 t / GTO 3.5 t),,
3 Feb 1994,Japan Japan (LEO 10.1 t / GTO 3.9 t),,
20 Aug 1997,China China (LEO 12 t / GTO 5.2 t),,
18 Dec 2006,Japan Japan204 (LEO 15 t / GTO 5.8 t),,
10 Sep 2009,Japan Japan (LEO 19 t / GTO 8 t),,
3 Nov 2016,Japan Japan (LEO 19 t),China China (GTO 14 t)China,
5 May 2020,China China (LEO 25 t / GTO 14 t),,
