NAME,Export universal AutoCAD DXF,inside AutoCAD application available,Curve recognition,Circle recognition,Arc recognition,Orthogonal line detection,Corner detection,Line connection
Easy Trace,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Graphic Tracer Professional,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Adobe Illustrator,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Potrace,Yes,No,No,?,?,?,Yes,?
ImageTracer,No,No,Yes,No,Yes,Yes,Yes,Yes
Scan2CAD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WinTopo Pro,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
,Export universal AutoCAD DXF,inside AutoCAD application available,Curve recognition,Circle recognition,Arc recognition,Orthogonal line detection,Corner detection,Line connection
