Application programming interface,Desktop computer support,Embedded system support,Software license
Direct3D," Microsoft Windows, Microsoft Windows[ Microsoft Windows ] "," Windows Embedded,Windows Embedded Windows Embedded (through Windows Embedded)[ Windows Embedded ] ",Proprietary softwareProprietary software
OpenGL,Cross-platform[3],Cross-platform through OpenGL ESOpenGL ES," Open standard,[3] some features patented "
