Company,Software,On-demand scan,Real-time protection,Boot-time scans,Heuristic (computer science),Cloud computing,Firewall (computing),Intrusion Detection System,Intrusion prevention system,Sandbox (computer security),Email security,Antispam,Web filter,Macro protection,Live Update,Support,Settings Import/ Export,installer/ updater Man-in-the-middle attack safe,Software license,Price,First release,Country of origin,Original author/s,Notes
AhnLab Inc,AhnLab Inc,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary software,Non-free,1988,South Korea,Ahn Cheol-Soo,
AhnLab Inc,AhnLab Inc,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No,Yes,Yes,Yes,Yes,?,?,Proprietary software,Non-free,1988,South Korea,Ahn Cheol-Soo,
AhnLab Inc,AhnLab Inc,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,?,?,Proprietary software,Free,2010,South Korea,Ahn Cheol-Soo,
Avast Software,Avast Antivirus,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,?,Proprietary software,Free,1988,Czech Republic,Pavel Baudiš and Eduard Kučera,
Avast Software,Avast Antivirus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,Proprietary software,Trialware,1997,Czech Republic,Pavel Baudiš and Eduard Kučera,
AVG Technologies (avast),AVG (software),Yes,Yes,Yes,Yes,No,No,No,No,?,No,No,Yes,Yes,Yes,Yes,No,?,Proprietary software,Free,1992,Czech Republic,Jan Gritzbach and Tomáš Hofer,
AVG Technologies (avast),AVG (software),Yes,Yes,Yes,Yes,Yes,No,No,No,?,Yes,No,Yes,Yes,Yes,Yes,No,?,Proprietary software,Non-free,2006,Czech Republic,Jan Gritzbach and Tomáš Hofer,
AVG Technologies (avast),AVG (software),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,No,?,Proprietary software,Non-free,2008,Czech Republic,Jan Gritzbach and Tomáš Hofer,
Avira,Antivir,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,Yes,No,Yes,Yes,Yes,?,?,Proprietary software,Free,1988,Germany,Tjark Auerbach (page does not exist),
Avira,Avira,Yes,Yes,Yes,Yes,Yes,No,No,No,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary software,Non-free,2002,Germany,Tjark Auerbach (page does not exist),
Bitdefender,BitDefender,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,?,?,Proprietary software,Free,2013,Romania,,
Bitdefender,BitDefender,Yes,Yes,Yes,Yes,Yes,Yes,Template:VTE Template:VTE Template:VTE,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary software,Non-free,1996,Romania,,
Bitdefender,BitDefender,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,?,No[1],Proprietary software,Non-free,2008,Romania,,
Check Point,ZoneAlarm,Yes,Yes,No,Yes,No,Yes,No,No,?,No,No,No,Yes,Yes,Yes,Yes,?,Proprietary software,Non-free,2002,Israel,,Third-party antivirus engine (Kaspersky) [2]
Check Point,ZoneAlarm,Yes,Yes,No,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Proprietary software,Non-free,2002,United States,,
Cisco (originally Cisco),Immunet,Yes,Yes,No,No,Yes,No,No,No,?,Yes,No,No,No,Yes,Yes,?,?,Proprietary software,Free,2010,United States,,Third-party antivirus engine (ClamAV)
ClamWin,ClamWin,Yes,Yes (with Winpooch (page does not exist) or Winpooch (page does not exist)),Yes (with Clam Sentinel (page does not exist)),Yes,No,No,No,No,?,Yes,No,No,No,Yes,No,?,?,GNU General Public License,Free,2002,Australia,,Third-party antivirus engine (ClamAV)
Comodo Group,Comodo Antivirus,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes*,Yes,Yes,Yes*,Yes,Yes,Yes,?,Proprietary software,Free,2008,United States,,*Protection via containment of untrusted executable code
Comodo Group,Comodo Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes*,Yes,Yes,Yes*,Yes,Yes,Yes,?,Proprietary software,Non-free,2010,United States,,*Protection via containment of untrusted executable code
Dr.Web,Dr.Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes*,Yes,Yes,Yes,Yes,Yes,Proprietary software,Trialware,1992,Russia,Igor Danilov,*macOS/Linux feature only
Dr.Web,Dr.Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary software,Trialware,2006,Russia,Igor Danilov,
ESET,NOD32,Yes,Yes,Yes,Yes,Yes,No,No,No,?,Yes,No,Yes[3][4],Yes,Yes,Yes,Yes,?,Proprietary software,TrialwareTrialware,1987,Slovakia,Peter Paško and Miroslav Trnka,
ESET,NOD32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes[3][4],Yes,Yes,Yes,Yes,No[1],Proprietary software,TrialwareTrialware,2007,Slovakia,Peter Paško and Miroslav Trnka,
F-Secure,F-Secure,Yes,Yes,Yes,Yes,No,No,No,No,?,Yes,No,No,Yes,Yes,Yes,?,?,Proprietary software,Non-free,1991,Finland,Petri Allas and Risto Siilasmaa,Third-party antivirus engine (Bitdefender)
F-Secure,F-Secure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary software,Non-free,2004,Finland,Petri Allas and Risto Siilasmaa,Third-party antivirus engine (Bitdefender)
FRISK Software International,FRISK Software International,Yes,Yes,Yes,Yes,No,No,No,No,?,Yes,No,No,Yes,Yes,Yes,?,?,Proprietary software,Trialware,1989,Iceland,Friðrik Skúlason (second engine also with Friðrik Skúlason),
Fortinet,Fortinet,Yes,Yes,Yes,No,No,Yes,No,No,?,No,No,Yes,No,Yes,Yes,?,?,Proprietary software,Free,2004,United States,,
G Data Software,G Data Software,Yes,Yes,Yes,Yes,No,No,No,No,?,No,No,Yes,Yes,Yes,Yes,?,?,Proprietary software,Non-free,1987,Germany,Andreas Lüning and Kai Figge,Third-party antivirus engine (Bitdefender)
G Data Software,G Data Software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary software,Non-free,2004,Germany,Andreas Lüning and Kai Figge,Third-party antivirus engine (Bitdefender)
Kaspersky Lab,Kaspersky Anti-Virus,Yes,Yes,Yes,Yes,No,No,No,No,?,Yes,No,Yes,No,Yes,Yes,?,?,Proprietary software,Non-free,1997,Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by Federal government of the United States
Kaspersky Lab,Kaspersky Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary software,Non-free,2007,Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by Federal government of the United States
Kaspersky Lab,Kaspersky Total Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Proprietary software,Non-free,,Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by Federal government of the United States
McAfee,McAfee,Yes,Yes,Yes,Yes,No,No,No,No,?,Yes,No,No,Yes,Yes,Yes,?,?,Proprietary software,Non-free,1987,United States,John McAfee,McAfee
McAfee,McAfee,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary software,Non-free,2006,United States,John McAfee,McAfee
