Country,Rocket,Burn time,Specific impulse (Vac.),Thrust (Vac.)
//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,S200 booster rocket stage[82],130s,274.5s," 5,150 kN (1,160,000 lbf) "
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,SRB-A series solid fueled rocket boosters,100s,280s," 2,260 kN (510,000 lbf) "
//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/21px-Flag_of_Israel.svg.png Israel,Shavit's first stage,82s,280s," 1,650 kN (370,000 lbf) "
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Kuaizhou series of launch vehicles,,,
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Long March 11 launch system,,,
