Name,Filename casing,CRC,Filedate,Daylight saving,Character casing
Beyond Compare,Yes,Yes,Yes,Yes,Yes
Compare++,Yes,Yes,Yes,,Yes
Diff,Yes,No,No,No,Optional
Diff3,,,,,
Eclipse (software) (compare),,,,,
Ediff,,,,,
ExamDiff Pro,No,Yes,Yes,Yes,Yes
Far Manager (compare),Yes,No,Yes,No,Yes
Microsoft File Compare,No,,,,Optional
Apple Developer Tools,No,No,No,,Optional
Guiffy SureMerge,filesystem dependent,,Yes,,Yes
IntelliJ IDEA (compare),,,,,
JEdit,,,,,
Kompare,Yes,,,,
Lazarus (software) Diff,,,,,
Meld (software),,,,,
Notepad++,No,No,No,,Yes
Perforce,N/A,No,No,No,Yes
Pretty Diff,N/A,No,No,No,Optional
Tkdiff,,,,,
Total Commander (compare),,,Optional,Yes (in synchronize only),Optional
Vim (text editor),No,No,No,No,Yes
WinDiff,No,No,when different,Yes,Optional
WinMerge,No,No,Optional,,Optional
Unified Code Count (UCC),No,No,Yes,No,
