Name, Tail-Call Optimization, Choice Point Elimination, Environment Trimming, Just-in-Time Indexing
Ciao, Yes, Yes, Yes, ?
GNU Prolog, Yes, Yes, Yes, ?
SICStus Prolog, Yes, Yes, Yes, 
XSB, Yes, Yes, Yes, ?
