Audio compression format,Algorithm,Sampling frequency,Bits per sample,Latency (audio),Stereophonic sound,Multichannel
Apple Lossless,Lossless encoding,1–384000 Hz," 16, 20, 24, 32[56] ",?,Yes,Yes: Up to 8 channels
Audio Lossless Coding,Lossless encoding,0–4 GHz," 8, 16, 24, 32 (int or float) ",?,Yes,Yes: Up to 65536 channels
ATRAC Advanced Lossless,?,?,?,?,?,?
Dolby TrueHD,Lossless encoding," 48, 96, 192 kHz "," 16, 20, 24 ",?,Yes," Yes: 5.1, 7.1, and Dolby Atmos object-based audioDolby Atmos "
DTS-HD Master Audio,?,?,?,?,?,?
FLAC,Lossless encoding,1–655350 Hz," 4, 8, 16, 20, 24, 32 [58] ",4.3–92 ms (46.4 ms typical),Yes,Yes: Up to 8 channels
HD-AAC,?,?,?,?,?,?
Monkey's Audio,Lossless encoding,1–655350 Hz[ Wikipedia:Citation needed ]," 8, 16, 24 "," 1670 to 26,749 ms (varies with compression) ",Yes,No
OptimFROG,?,?,?,?,?,?
Original Sound Quality,?,?,?,?,?,?
RealAudio,Lossless encoding,Varies (see RealAudio),Varies (see RealAudio),Varies,Yes,Yes: Up to 6 channels
TTA (codec),Lossless encoding,0–4 GHz,1 to > 64,approx. 1045 ms[59],Yes,Yes: Up to 65535 channels
WavPack," Lossless encoding, Hybrid ",1 Hz to 16.777216 MHz,Varies in lossless mode; supports 32-bit float input; 2.2 minimum in lossy mode,?,Yes,Yes: Up to 256 channels
Windows Media Audio 9 Lossless,Lossless encoding," 8, 11.025, 16, 22.05, 32, 44.1, 48, 88.2, 96 kHz "," 16, 24 ",>100 ms,Yes,Yes: Up to 6 channels
