Tool,Creator,Target Business Size,Software license,Supported Database Platforms,Supported OSs,Standalone or bundled into a larger toolkit,Launch Date
Astah,Change Vision (page does not exist),Enterprises,Proprietary software," MySQL, MySQL, "," Windows, macOS, Linux ",Standalone,2006
Database Deployment Manager,The Unauthorized Frog project,SMBs and enterprises,LGPL," CUBRID, CUBRID, CUBRID "," Windows, Linux ",Standalone,2010 ?
Database Workbench,Upscene Productions,SMBs and enterprises,Proprietary software," MS SQL Server, MS SQL Server, MS SQL Server, MS SQL Server, MS SQL Server, MS SQL Server, MS SQL Server, MS SQL Server "," Windows, Linux and FreeBSD (both through Wine) ",Standalone,2001
Enterprise Architect (software),Sparx Systems,SMBs and enterprises,Proprietary software," IBM DB2, IBM DB2, IBM DB2, IBM DB2, IBM DB2, IBM DB2, IBM DB2, IBM DB2, IBM DB2, IBM DB2, IBM DB2, IBM DB2 "," Windows, Linux (Wine), macOS (via CrossOver (software)) ",Data modeling is supported as part of a complete modeling platform.,2000
ER/Studio,Embarcadero Technologies,SMBs and enterprises,Proprietary software," Microsoft Access, Microsoft Access, Microsoft Access, Hitachi HiRDB, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access and others via ODBC/ANSI SQL ",Windows,Standalone,1998
Erwin Data Modeler,ERWin (formerly CA Technologies),SMBs and enterprises,Proprietary software," Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, and others via ODBC/ANSI SQL ",Windows,Standalone,1998
MagicDraw,No Magic," Enterprises, SMBs, personal ",Proprietary software," MS SQL Server, MS SQL Server, MS SQL Server, MS SQL Server, MS SQL Server "," Windows, Linux, macOS ",Standalone,1995
SQL Server Management Studio,Microsoft,Unknown,Proprietary software,MS SQL Server,Windows,Standalone,2005
ModelRight,ModelRight," Enterprises, SMBs, personal ",Proprietary software," Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access ",Windows,Standalone,2005
MySQL Workbench,MySQL (An MySQL Company),SMBs - personal,Proprietary software or Proprietary software,MySQL," Linux, Windows, macOS ",Standalone,2006
Navicat Data Modeler,PremiumSoft,SMBs and enterprises,Proprietary software," MySQL, MySQL, MySQL, MySQL, MySQL "," Windows, macOS, Linux ",Standalone,2012
NORMA (software modeling tool) Object-Role Modeling,Terry Halpin,SMBs and enterprises,Open Source," MySQL, MySQL, MySQL, MySQL, MySQL ",Windows,Visual Studio Extension,2005
Open ModelSphere,Grandite,Enterprises - SMBs - personal,Open source," MS SQL Server, MS SQL Server, MS SQL Server, MS SQL Server, MS SQL Server "," Windows, macOS, Linux "," Standalone with Data, UML, and process modeling ",2008
Oracle SQL Developer Data Modeler,Oracle Corporation,Enterprises,Proprietary software," Oracle database, Oracle database, Oracle database ",Cross-platform,Standalone,2009
PowerDesigner,SAP SE,SMBs and enterprises,Proprietary software," Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Red Brick Warehouse, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access ",Windows,Standalone,1989
Software Ideas Modeler,Dusan Rodina," Enterprises, SMBs, personal ",Proprietary software," MS SQL Server, MS SQL Server ",Windows,Standalone,2009
SQLyog," Webyog, Inc. "," Enterprises, SMBs, personal ",Proprietary software," MySQL, MySQL ",Windows and Linux (using Wine),Standalone,2001
Toad Data Modeler,Quest Software,SMBs and enterprises,Proprietary software," Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access, Microsoft Access ",Windows,Standalone,2005 (before this date known as CaseStudio)
