Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config[a],Computer bus Computer bus,GPU cache GPU cache (GPU cache),Clock Speeds,,,Memory,,,,FillrateFillrate,,Processing power (GFLOPS)GFLOPSGFLOPS,,Thermal design power (Watts),Scalable Link Interface support,Release price (USD)
,,,,,,,,,Base (Hertz),Boost (Hertz),Memory (Transfer (computing)),Size (Gibibyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit),Pixel (Pixel/s)Pixel,Texture (Texel (graphics)/s)Texel (graphics),Single precision floating-point format,Double precision floating-point format,,,MSRP
GeForce GT 945A[53][54][55]," February, 2016 ",GM108,TSMC TSMC,Unknown,Unknown,512:24:8 (4),PCIe 3.0 ×8,?,1072,1176,1800,1 / 2,14.4,DDR3 / DDR3,64,8.5 9.4,25.7 28.2,1 097.7 1 204.2,34.3 37.6,33,No,OEM
GeForce GTX 950[56]," August 20, 2015 ",GM206-250,,2.94,227,768:48:32 (6),PCIe 3.0 ×16,1,1024,1188,6600,2,105.7,GDDR5,128,32.7 38.0,49.1 57.0,1 572.8 1 824.7,49.1 57.0,90,2-way Scalable Link Interface,$159
GeForce GTX 950 (OEM)[57],Unknown,GM206,,,,1024:64:32 (8),,,935,Unknown,5000,,80.0,,,29.9,59.8,1 914.9  ,59.8,Unknown,,OEM
GeForce GTX 960[58]," January 22, 2015 ",GM206-300,,,,,,,1127,1178,7000,,112.1,,,36.0 37.6,72.1 75.3,2 308.0 2 412.5,72.1 75.3,120,,$199
GeForce GTX 960 (OEM)[59],Unknown,GM204,5.2,398,1280:80:48 (10),924,,,Unknown,5000,3,120.0,192,,44.3,73.9,2 365.4  ,73.9,Unknown,OEM,
GeForce GTX 970[60]," September 18, 2014 ",GM204-200,,,1664:104:56 (13),1.75,,1050,1178,7000,3.5 + 0.5[f],196.3 + 28.0[f],224 + 32[f],,58.8 65.9,109.2 122.5,3 494.4 3 920.3,109.2 122.5,145,4-way Scalable Link Interface,$329
GeForce GTX 980[62]," September 18, 2014 ",GM204-400,,,2048:128:64 (16),2,,1126,1216,,4,224.3,256,,72.0 77.8,144.1 155.6,4 612.0 4 980.7,144.1 155.6,165,,$549
GeForce GTX 980 Ti[63]," June 1, 2015 ",GM200-310,8,601,2816:176:96 (22),3,,1000,1075,,6,336.5,384,,96.0 103.2,176.0 189.2,5 632.0 6 054.4,176.0 189.2,250,,$649
GeForce GTX TITAN X[64]," March 17, 2015 ",GM200-400,,,3072:192:96 (24),,,,,,12,,,,,192.0 206.4,6 144.0 6 604.8,192.0 206.4,,,$999
