Client,First public Date,First public Version,First stable Date,First stable Version,Latest stable release
Alpine (email client),2006-11,0.8,2007 December,1.00," 2017-03-17, 2.21.9 (September 19, 2017; 2 years ago (2017-09-19)) [±] "
Apple Mail,?,?,?,?,?
Becky!,1996,1,?,?," 2017-08-29, 2.74.03 (October 1, 2019; 2 months ago (2019-10-01) [3]) [±] "
Citadel/UX,1987,?,1988,1.00," 2017-01-15, 906 (January 15, 2017; 2 years ago (2017-01-15)) [±] "
Claws Mail,2001-05,0.4.67,2005-01,1.0.0," 2017-08-29, 3.17.4 (July 26, 2019; 4 months ago (2019-07-26)[4]) [±] "
Cone (software),2003-05,0.50,2003-05,0.50," 2016-08-03, 1.0 (September 13, 2018; 15 months ago (2018-09-13)) [±] "
Courier (email client),2004-06,3.5,discontinued,discontinued," 2004-06, 3.5 (June 2004) [±] "
Elm (email client),1986,?,1987-03,2," 2005-08-18, 2.5.8 (August 18, 2005; 14 years ago (2005-08-18)) [±] "
EM Client,2007-11,1.0,2007-11,1.0," 2017-07-10, 7.2.36465.0 (August 22, 2019; 3 months ago (2019-08-22)) [±] "
EmailTray,2010-10,2.0,2011-03,3.11," 2012-07-02, 4.0 (July 2, 2012; 7 years ago (2012-07-02)) [±] "
Eudora (email client),1988[5],?,1988[5],?," 2006-10-11, 7.1 (Windows), 6.2.4 (Mac OS) (October 11, 2006; 13 years ago (2006-10-11)) [±] "
Eureka Email,2002-11,1.0,2002-11,1.0," 2005-03-01, 2.2 (March 1, 2005; 14 years ago (2005-03-01)) [±] "
Evolution (software),2000-05-11,0.0,2001-12-03,1.0," 2017-09-13, 3.34.2[6] (25 November 2019; 25 days ago (2019-11-25)) [±] "
Forté Agent,?,?,?,?," 2014-10-20, 8 (October 20, 2014; 5 years ago (2014-10-20)) [±] "
Geary (software),2012,0.1,2012,0.1," 2017-10-02, 3.32.0 (March 17, 2019; 9 months ago (2019-03-17)[7]) [±] "
Gnus,1987[8],?,1988-02-01[8],2.0," 2015-04-06, "
GroupWise,?,?,1986,1.0," 2014-04-02, 18.1  (2018; 1 year ago (2018)) [±] "
Hiri (email client),2014-02,0.4,2016-06,1.0," 2017-06-10, 1.0.11 (June 10, 2017; 2 years ago (2017-06-10)) [±] "
Scribe Mail,1999,1.00,?,?," 2014-08-04, 2.3.16 (June 12, 2019; 6 months ago (2019-06-12)) [±] "
IBM Lotus Notes,Lotus Notes,Lotus Notes,Lotus Notes,Lotus Notes," 2013-03-14, 10.0.1 (December 18, 2018; 12 months ago (2018-12-18)) [±] "
Internet Messaging Program,?,?,1998,1.0," 2016-09-06, 6.2.16 (September 6, 2016; 3 years ago (2016-09-06)) [±] "
K-9 Mail,?,?,?,?,2018-09-02
KMail,1998-10,Alpha,1999-02,1.0.17," 2014-11-11, 4.14.38 (November 7, 2017; 2 years ago (2017-11-07)) [±][9] "
Mailbird,2013-04-01,Public Beta,?,?," 2018-12-19, 2.5.27 (December 19, 2018; 12 months ago (2018-12-19)) [±] "
Mailpile,2011-11,[10],[11],[12]," 2017-08-13 1.0.0rc3 (May 17, 2018; 19 months ago (2018-05-17)[13]) [±] "
Microsoft Entourage,?,?,?,?," 2013-03-12, 2008 (12.3.6) (March 12, 2013; 6 years ago (2013-03-12)) [±] "
Microsoft Office Outlook,1997,97,1997,97
Office 365," 1911 (16.0.12228.20364) / December 10, 2019; 10 days ago (2019-12-10)[14]"
One-time purchase," Microsoft Office 2019 (16.0) / September 24, 2018; 14 months ago (2018-09-24)Microsoft Office 2019"
