Engine, Origin, Designer, Vehicle, Use, Propellant, Specific impulse (s)[a], Thrust (N)[a], Mass (kg), Thrust:weight ratio[f], Chamber pressure (bar), Oxidiser:fuel ratio
Aestus, IMG Europe, Airbus Defence and Space, Ariane 5 G G+ ES, Upper, N2O4 / MMH, 324[72], 30000, 111, 27.6, 11, 1.9
Aestus II, IMG Europe, Airbus Defence and Space, Ariane 5, Upper, N2O4 / MMH, 340[73], 55400, 138, 41.0, 60, 1.9
F-1[g], IMG USA, Rocketdyne, Saturn V, 1st, RP-1 / LOX, 304 263 (SL), 7770000 6770000 (SL), 8391, 82.27, 70, 2.27
F-1A[h][74], IMG USA, Rocketdyne, , 1st, RP-1 / LOX, 303 270 (SL), 8989000 8007000 (SL), 9015, 90.6, 80, 2.27
AJ-260-2, IMG USA, Aerojet, S-I stage replacement (proposed), 1st, PBAN, 263s, 26183755, 831345 with fuel, , , 
Gamma 2, IMG United Kingdom, Bristol Siddeley, Black Arrow, 2nd, RP-1 / H2O2, 265[75], 68200, 173, 40.22, , 8
Gamma 8, IMG United Kingdom, Bristol Siddeley, Black Arrow, 1st, RP-1 / H2O2, 265[76], 234800, 342, 70.01, 47.40, 8
HM-7A, IMG Europe, Snecma, Ariane 1, 3rd, LH2 / LOX, 443[77] 308 (SL), 61700, 149, 42.2, 30, 5
J-2, IMG USA, Rocketdyne, Saturn V Saturn IB, 2nd 3rd, LH2 / LOX, 421[78] 200 (SL), 1033100 486200 (SL), 1438, 73.18, 30, 5.5
J-2X, IMG USA, Pratt & Whitney Rocketdyne, SLS(proposed), Upper, LH2 / LOX, 448[79], 1310000, 2470, 58.41, 95, 5.5–4.5
Kestrel, IMG USA, SpaceX, Falcon 1, Upper, RP-1 / LOX, 317, 31000, 52, 65, 9.3, 
LE-5, IMG Japan, Mitsubishi NASDA, H-I, Upper, LH2 / LOX, 450[80], 103000, 245, 42.87, 36.0, 5.5
LE-5A, IMG Japan, Mitsubishi NASDA, H-II, Upper, LH2 / LOX, 452[81], 121500, 242, 51.19, 40.0, 5
LE-7, IMG Japan, Mitsubishi NASDA, H-II, 1st, LH2 / LOX, 446[82], 1078000 843500 (SL), 1714, 64.13, 127, 5.9
Merlin 1C, IMG USA, SpaceX, Falcon 1 Falcon 9, 1st 2nd, RP-1 / LOX, 304[83] 266 (SL)[84], 480408[83] 422581 (SL)[83], 630, 92[83], 67.7, 
Merlin 1D, IMG USA, SpaceX, Falcon 9 v1.1, 1st, RP-1 / LOX, 311[85] 282 (SL)[85], 723000, 470, 158, 97, 2.34
Merlin Vacuum 1C, IMG USA, SpaceX, Falcon 1 Falcon 9, 2nd, RP-1 / LOX, 336[84], 413644[84], , 92, , 
RD-0120 11Д122, IMG Soviet Union, KBKhA, Energia, 1st, LH2 / LOX, 455[86], 1962000 1526000 (SL), 3450, 57.80, 219, 
RD-56 (KVD-1) 11Д56У, IMG Russia, KBKhM, GSLV Mk I, Upper, LH2 / LOX, 462[87], 69626, 282, 25.17, 55.9, 
RD-117 11Д511, IMG Soviet Union, NPO Energomash, Soyuz-U, 1st, RP-1 / LOX, 316[88] 253 (SL), 978000 778648 (SL), 1100, 72.18, 54.2, 
RD-118 11Д512, IMG Soviet Union, NPO Energomash, Soyuz-U, 2nd, RP-1 / LOX, 314[88] 257 (SL), 1000278 818855 (SL), 1100, 75.91, 59.7, 
RD-170[i]11Д521[89], IMG Soviet Union, NPO Energomash, Soyuz-U, 1st, RP-1 / LOX, 337.2 309.5 (SL), 7904160 7256921 (SL), 9300, 79.57, 250, 
RD-264 11Д119, IMG Soviet Union, NPO Energomash, Dnepr, 1st, N2O4 / UDMH, 318[90] 293 (SL), 4521000, 3600, 128.15, 206
RD-275 14Д14, IMG Russia, NPO Energomash, Proton-M, 1st, N2O4 / UDMH, 316[91] 287 (SL), 1831882 1671053 (SL), 1070, 171.2, 160.0, 
RD-854 8D612, IMG Soviet Union, Pivdenne/Pivdenmash, R-36ORB, 3rd, N2O4 / UDMH, , , , , 
RD-855 8D68M, IMG Soviet Union, Pivdenne/Pivdenmash, R-36 Tsyklon-2 Tsyklon-3, 1st vernier, N2O4 / UDMH, , 328000, 320, , 65.70, 1.97
RD-856 8D69M, IMG Soviet Union, Pivdenne/Pivdenmash, R-36 Tsyklon-2 Tsyklon-3 (Tsyklon-4), 2nd vernier, N2O4 / UDMH, , 54230, 112.5, , 71.60, 1.98
RD-861 11D25, IMG Soviet Union, Pivdenne/Pivdenmash, Tsyklon-2 Tsyklon-3, 3rd, N2O4 / UDMH, , 78710, 123, , 88.8, 2.1
RD-864 15D177, IMG Soviet Union, Pivdenne/Pivdenmash, R-36 (missile) Dnipro, 3rd, N2O4 / UDMH, 309 high 298 low, 20200 high 8450 low, 199, , 41 high/17 low, 1.8
RD-869 15D300, IMG Soviet Union, Pivdenne/Pivdenmash, R-36M, 3rd, N2O4 / UDMH, 313 high 302.3 low, 20470 high 8580 low, 196, , 41 high/17 low, 1.8
Space Shuttle Solid Rocket Booster[j], IMG USA, Thiokol, Space Shuttle Ares I, Booster, PBAN / APCP, 268, 14000000 12500000 (SL), 590000 with fuel, , , 
