Application,Latest stable release,Developer,3D support?,Runs on Unix-like?,Runs on Windows?,Other platforms?,Open source?,User Interface Language(s),Supported format(s)
Caddie (CAD system),14,Advanced Computer Solutions (page does not exist),Yes,No,Yes,?,No (Free download),English language," DXF, DXF, DRW "
ProgeCAD Viewer DWG (based on ProgeCAD) (incomplete entry),2009,ProgeCAD,No,No,Yes,No,No,English language," .dwg, .dwg "
VariCAD Viewer,2019 v2.03,VariCAD,Yes,YesLinux,Yes,Yes,No," English language, English language, English language, English language, English language "," .dwg (2D), .dwg (2D), .dwg (3D).dwg "
WorkXPlore 3D,1.7 (2009),Sescoi,Yes,No,Yes,No,No (Free download)," English language, English language, English language, English language, English language, English language, English language "," .dwg, .dwg, .dwg, .dwg, .dwg, .dwg, 3D .dwg, XDW, .dwg, .dwg, .dwg, .dwg, .dwg, .dwg, .dwg, .dwg, .dwg.dwg "
LibreCAD,2.0.6 (10/2014)[3],LibreCAD,No,Yes,Yes,Yes,Yes (GPLv2)," Chinese language, Chinese language, Chinese language, Chinese language, Chinese language, Chinese language, Chinese language, Chinese language, Chinese language, other ",DXF
