Integrated development environment,Software developer,Latest stable Software release,Platform (computing),Software license
Decoda,Unknown Worlds Entertainment," 1.16 / October 25, 2011 ",Microsoft Windows,GPLGPL
SlickEdit,SlickEdit,October 2016," Windows, Windows, Windows, Windows, Windows, Windows, Windows ",Proprietary software
ZeroBrane Studio," Paul Kulchenko, ZeroBrane LLC "," 1.80 / October 7, 2018 "," Microsoft Windows, Microsoft Windows/Microsoft Windows, Microsoft Windows ",MIT License
