Software,Developer,First public release,Latest stable date (version),Cost (United States dollar),Open-source software,Software license,Linux,Mac OS X,Windows,Framework
7-Zip,Igor Pavlov,1999-07-19,2019-02-21,Free,Yes,GNU Lesser General Public License with unRAR restriction / LZMA SDK in the GNU Lesser General Public License,Yes,Yes,Yes,C++
AccuHash,Irnis Haliullin,?,2008-11-06 (2.0.18),$19.95,No,Proprietary software,No,No,Yes,?
BeaverSFV (page does not exist),Karl-Johan Sjögren,2008-09-14,1.2,Free,No,Freeware,No,No,Yes,.NET Framework
CDCheck,Mitja Perko,2003,2008-04-10 (3.1.14.0),various,No,Proprietary software,No,No,Yes,Visual Component Library
Checksum Compare,Sanktu Aire,2012,2016-02-10 (v1.42),Free,No,Freeware,No,No,Yes,Qt (framework)
Checksums,Acera AS,2015-05-12,2015-12-01 (1.0.2),Free,No,Freeware,No,No,Yes,C++
cfv,Matthew Mueller,2000-06-22,2009-06-07 (1.18.3),Free,Yes,GPL,Yes,Yes,Yes,Python (programming language)
CHK,Ilya Muravyov,2010,2019-09-20 (v3.21),Free,No,Freeware,No,No,Yes,Visual Component Library
Cksum,various (POSIX),?,various,Free,Yes,various,Yes,Yes,?,C (programming language)
CyoHash,Graham Bull,2009-09-01,2019-10-04 (2.4.0),Free,Yes,BSD licenses,No,No,Yes,C++
Data Digester,Leisenfels,2013-03-14,2015-04-15 (1.6.15),22€ to 69€,No,Proprietary software,Yes,Yes,Yes,Java (programming language)
DeepDigest,Nick Stone,2012-03-24,2014-06-16 (1.3.27),Free,Yes,GPL,Yes,?,?,Qt (framework)
Double Commander,Alexander Koblov and others,2007,2019-02-16 (0.9.1),Free,Yes,GPL,Yes,Yes,Yes,Object Pascal (Object Pascal/Object Pascal)
DySFV,Johan Sonesson,2007,2013-04-23 (1.4.0.0),Free,Yes,GPL,No,No,Yes,.NET Framework
ExactFile,Brandon Staggs,2009,2009-02-23 (1.0.0.15),Free,No,Freeware,No,No,Yes,VCL
eXpress CheckSum Calculator,Irnis Haliullin,2002,2002-12-27 (1.0),Free,No,Freeware,No,No,Yes,?
FastSum,Kirill Zinov,2003,1.7.0.403 GUI/1.9.0.149 GUI,various,No,Freeware/Freeware,No,No,Yes,?
FCIV,Microsoft,?,2004-05-17,Free,No,Freeware,No,No,Yes,?
Febooti Hash &amp; CRC,Febooti Software,2006,2015-09-25 (v3.7),Free,No,Freeware,No,No,Yes,?
FileVerifier++,Tom Bramer,2006,2010-05-22 (0.6.3.5830),Free,Yes,GPL,No,No,Yes,?
FlashSFV,Charles DeWeese,2007,2007-07-22 (2.6),Free,No,Freeware/Freeware,No,No,Yes,?
FSUM,SlavaSoft,?,2007-03-03 (2.52),Free,No,Freeware,No,No,Yes,?
Fsum Frontend,Thierry Micholt,2007,2008-05-27 (1.5.5.1),Free,Yes,GPL,?,?,Yes,?
PowerShell (via PowerShell),Microsoft,2012-09-04 (3.0),2018-01-10 (6.0),Free,Yes; since v6.0,MIT License,Yes,Yes,Yes," .NET Core, .NET Core "
GtkHash[1],Tristan Heaven[2],2007-06-29 (0.1.0),2018-11-27 (1.2 ),Free,Yes,GPL,Yes,?,No,GTK
HashCalc,SlavaSoft,?,2007-03-03 (2.02),Free,No,Freeware,No,No,Yes,?
" HashCheck Shell Extension: Gurnec version, SDL version "," Kai Liu, various, gurnec (2.2.2-2.4.0), Software Development Laboratories (3.0-3.1) ",2008-11-29,2016-09-07 (2.4.0),Free,Yes,BSD licenses,No,No,Yes,C (programming language)
HashForm,Igor Gresovnik,2010,? (1.6),Free,No,Freeware,Yes,?,Yes,.NET
