John McCain,,Barack Obama,
McCain voted to extend the wiretap provision in the USA PATRIOT Act. He also voted to reauthorize the USA PATRIOT Act in 2006.[215],,Obama called for the repeal of the USA PATRIOT Act in 2003.Foreign Intelligence Surveillance Act He voted for the reauthorization of the USA PATRIOT Act in 2006.Foreign Intelligence Surveillance Act He supported recent Foreign Intelligence Surveillance Act legislation giving telecommunications corporations immunity for cooperating with Foreign Intelligence Surveillance Act.Foreign Intelligence Surveillance Act,
Chuck Baldwin,Bob Barr,Cynthia McKinney,Ralph Nader
," During the 2008 Libertarian National Convention, Barr said of USA PATRIOT Act: ""I'd drive a stake through its heart, shoot it, burn it, cut off its head, burn it again, and scatter its ashes to the four corners of the world.""2008 Libertarian National Convention ",McKinney calls for the repeal of the Patriot Act.[220]," Nader has called for the repeal of the USA PATRIOT Act. He has stated that it has eroded civil liberties and due process of law, particularly for Muslims and Arab Americans.[221] "
