Format,Languages
" std.string.join( array_of_strings ,  separator ) ",D (programming language)
" string:join( list_of_strings ,  separator ) ",Erlang (programming language)
" join( separator ,  list_of_strings ) "," Perl, Perl, Perl "
" implode( separator ,  array_of_strings ) ",PHP
separator .join( sequence_of_strings )," Python (programming language), Python (programming language) 1.x "
array_of_strings .join( separator )," Ruby (programming language), Ruby (programming language), Ruby (programming language), Ruby (programming language)Ruby (programming language) "
(string-join  array_of_strings   separator ),Scheme (programming language) (SRFI 13)
" (Format (Common Lisp) nil ""~{~a~^ separator ~}""  array_of_strings ) ",Common Lisp
(clojure.string/join  separator   list_of_strings ) (apply str (interpose  separator   list_of_strings )),Clojure
" strings.Join( array_of_strings ,  separator ) ",Go (programming language)
" join( array_of_strings ,  separator ) ",Seed7
String.concat  separator   list_of_strings,OCaml
String.concatWith  separator   list_of_strings,Standard ML
Data.List.intercalate  separator   list_of_strings,Haskell (programming language) (GHC 6.8+)
" Join( array_of_strings ,  separator ) ",Visual Basic
" String.Join( separator ,  array_of_strings ) "," Visual Basic .NET, Visual Basic .NET, Visual Basic .NET "
" String.join( separator ,  array_of_strings ) ",Java (programming language) 8+
" &amp;{$OFS= $separator ; "" $array_of_strings ""}, or   array_of_strings  -join  separator  ",Windows PowerShell
[ array_of_strings  componentsJoinedByString: separator ],Objective-C (NSString * only)
" table.concat( table_of_strings ,  separator ) ",Lua (programming language)
{|String streamContents: [ :stream |  collectionOfAnything  asStringOn: stream delimiter:  separator  ]   collectionOfAnything  joinUsing:  separator," Smalltalk (Smalltalk, Smalltalk) "
"  array_of_strings .join( separator «,  final_separator ») ",Cobra (programming language)
sequence_of_strings .joinWithSeparator( separator ),Swift (programming language) 2.x
" 1↓∊ separator ,¨ list_of_strings  ",APL (programming language)
