Platform,,,Features,,,,,,,,Toolkit,,,Prolog Mechanics
Name,OS,Licence,Native Graphics,Compiled Code,Unicode,Object Oriented,Native OS Control,Stand Alone Executable,C Interface[3],Java Interface[3],Interactive Interpreter,Debugger,Code Profiler,Syntax
BProlog," Unix, Unix, Unix ",Free for non-commercial uses,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes," ISO-Prolog, plus event-handling, CLP(FD), and tabling "
JIProlog (page does not exist)," JVM, JVM ",Shareware/Commercial and Shareware,Yes,,Yes,,Yes via Java,Yes,Yes via Java,Yes,Yes,Yes,,ISO-Prolog
Ciao (programming language)," Unix, Unix, Unix "," GPL, GPL ",,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes," ISO-Prolog, plus extensions "
DOS-PROLOG,MS-DOS,Shareware,Yes,Yes,Yes,,Yes,Yes,,,,Yes,,Edinburgh Prolog
ECLiPSe," Linux, Linux, Linux, Linux ",Mozilla Public License,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes," Extended Prolog, Multi-dialect, including ISO "
GNU Prolog," Unix, Unix, Unix "," GNU General Public License, GNU General Public License ",,Yes,,,Yes,Yes,Yes,,Yes,Yes,,ISO-Prolog
Jekejeke Prolog," JVM, JVM ",Distribution Evaluation,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes," ISO-Prolog, Java API "
JLog,JVM,GNU General Public License,Yes,Yes,,,,,,Yes,Yes,,,ISO-Prolog
JScriptLog,Web Browser,GNU General Public License,,,,,,,,,Yes,,,ISO-Prolog
jTrolog,JVM,GNU Lesser General Public License,,,Yes,,,,,Yes,Yes,Yes,,ISO-Prolog Wikipedia:Link rot[ Wikipedia:Link rot ]
LPA-PROLOG,Microsoft Windows,Commercial,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Edinburgh Prolog with extensions
Open Prolog,Mac OS,Freeware,,,,,,,,,,Yes,,
Poplog Prolog," Linux (32- and 64-bit), Linux, Linux ",Free Open Source," Only through POP-11, on Linux ",Yes,,,Yes,Yes,Yes,,Yes,Yes,," Edinburgh Prolog, with interfaces to Poplog Common Lisp and Pop-11 "
SICStus Prolog," Unix, Unix, Unix, Unix ",Software license,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Comparison of Prolog standards compliance (page does not exist)
Strawberry Prolog (page does not exist)," Microsoft Windows, Microsoft Windows "," Freeware, Commercial ",Yes,Yes,Yes,,,Yes,,,,Yes,,Not ISO-Prolog + extensions
SWI-Prolog," Unix, Unix, Unix, Unix ",BSD License,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes," ISO-Prolog, Edinburgh Prolog "
TuProlog (page does not exist)," JVM, JVM ",GNU Lesser General Public License,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,ISO-Prolog
Visual Prolog,Microsoft Windows," Freeware, Commercial ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,
XSB," Linux, Linux, Linux, Linux ",GNU Lesser General Public License,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes," ISO-Prolog, tabled WFS "
YAP-Prolog," Linux, Linux, Linux, Linux, Linux ",GNU General Public License or Artistic (user choice),,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,," Edinburgh, ISO-Prolog, Quintus and SICStus Prolog compatible "
