Server,Developed by,Software license,Last stable version,Latest release date
AOLserver,NaviSoft,Mozilla Public License,4.5.2,2012-09-19
Apache HTTP Server,Apache Software Foundation,Apache License,2.4.46,2020-08-07
Apache Tomcat,Apache Software Foundation,Apache,9.0.37,2019-07-05
Boa (web server),Jon Nelson and Larry Doolittle,GNU GPL,0.94.13,2002-07-30 (discontinued)
BusyBox," Glenn Engel, Vladimir Oleynik, BusyBox Team ",GNU GPL,1.31.1,2020-06-26
Caddy (web server),Matt Holt,Apache,2.1.1,2020-06-30
Caudium (web server),The Caudium Group,GNU GPL,1.4.18,2012-02-24
Cherokee (Webserver),Álvaro López Ortega,GNU GPL,1.2.103,2013-04-21
GlassFish," ""Oracle Corporation (initial code from Oracle Corporation)"" ",Common Development and Distribution License &amp; Common Development and Distribution License,5.1.0,2019-01-28
Hiawatha (web server),Hugo Leisink,GNU GPLv2,10.11,2020-07-08
HTTP File Server,Rejetto,GNU GPL,2.3m,2018-08-16
IBM HTTP Server,IBM,Non-free Proprietary software,9.0.5.4,2020-6-12[1]
Internet Information Services,Microsoft,Non-free proprietary,10.0.17763.1,2018-10-02
Jetty (web server),Eclipse Foundation,Apache,9.4.31,2020-07-23
Jexus,Bing Liu,Non-free proprietary,6.2.x,2020
Lighttpd,Jan Kneschke (Incremental),BSD licenses variant,1.4.55,2020-01-31
LiteSpeed Web Server,LiteSpeed Technologies,Non-free proprietary,5.4.8,2020-07-01
Mongoose (web server),Cesanta Software,GNU General Public License / proprietary license,6.18,2020-05-21
Monkey HTTP Server,Monkey Software,Apache License,1.6.9,2016-06-04
NaviServer,Various,Mozilla 1.1,4.99.19,2020-01-06
NCSA HTTPd,Robert McCool,Non-free proprietary,1.5.2a,1996-10-08
Nginx," NGINX, Inc. ",BSD licenses variant,1.18.0,2020-04-21
Virtuoso Universal Server,OpenLink Software,GNU GPL and proprietary versions,8.3.3316,2020-03-10
Oracle HTTP Server,Oracle Corporation,Non-free proprietary,12cR2 (12.2.1.4)[2],Unknown
Oracle iPlanet Web Server,Oracle Corporation,BSD licenses,7.0.27,2017-10-01
Oracle WebLogic Server,Oracle Corporation (formerly Oracle Corporation),Non-free proprietary,14c (14.1.1.0) [2],2020-03-30
Resin Server,Caucho Technology,GNU General Public License / proprietary license,4.0.65,2018-07-29
Resin Server,Caucho Technology,Non-free proprietary,4.0.65,2020-07-29
Thttpd,Jef Poskanzer for ACME Laboratories,BSD licenses variant,2.29,2018-05-24
TUX web server,Ingo Molnár,GNU GPL,3.2.6.18,2006-09-20
Wakanda (software),Wakanda,GNU Affero General Public License / proprietary license,2.7.0,2019-04-29
WEBrick,,BSD licenses 2-clause,1.6.0,2019-11-30
Xitami,IMatix Corporation,BSD licenses,5.0a0,2009-02-19
Yaws (web server),Claes Wikström,BSD licenses variant,2.0.7,2019-07-14
Zeus Web Server,Zeus Technology,Non-free proprietary,4.3r5,2010-01-13
Zope,Zope Corporation,Zope Public License,2.13.30,2020-02-14
Server,Developed by,Software license,Last stable version,Latest release date
