Name,Creator,Initial public release,Predecessor,Current stable version,Release date," Cost, availability ",Preferred Software licenseSoftware license,Target system type
IBM AIX,IBM,1986,UNIX System V Release 3,7.2," 2015, October 5 ",Bundled with hardware,Proprietary software," Server (computing), Server (computing), Server (computing) "
Android (operating system)," Android, Inc., Android, Inc. ",2008,None,Android 11," 2020, September 8 ",Free," Apache License 2.0, GNU Apache License "," Smartphone, Smartphone, Smartphone "
AmigaOS classic," Commodore International, Commodore International, Commodore International ",1985,TRIPOS (as the disk operating component of AmigaOS),AmigaOS versions," 2002, March 20 "," Discontinued; Bundled with hardware up to version 3.0 (Amiga International hardware came with 3.1); versions 2.1, 3.0, 3.1, 3.5, 3.9 also available as separate packages "," Proprietary software, open source clone available under Proprietary software Public License "," Workstation, Personal computer "
AmigaOS 4,Hyperion Entertainment,2004,AmigaOS classic,4.1 Final Edition,2014,4.0 bundled with hardware; 4.0 for classic and 4.1 available as standalone package at €29,Proprietary software," Workstation, personal computer "
ArcaOS," Arca Noae, LLC ",2017,OS/2,5.0.6,2020,Personal edition US$129.00 Commercial edition US$229.00,Proprietary software," Server, workstation, personal computer "
Chrome OS,Google,2009,Chromium OS,75.0.3770.102," 2019, March 5 "," Bundled with hardware, 32-bit x86 edition dropped ",Proprietary software: Google OS Terms of Service," Chromebook, Chromebook, Chromebook and Chromebook "
DragonFly BSD,Matthew Dillon (computer scientist),2003,FreeBSD,5.6.1," 2019, June 19 ",Free,BSD," Server, workstation, NAS, embedded "
FreeBSD,The FreeBSD Project,1993,386BSD,12.0," 2018, December 11 ",Free,BSD licenses," Server, workstation, NAS, Embedded system "
Genode,Genode Labs,2008,None,19.05[1]," 2019, May 29 "," Free, source code only ",GNU Affero General Public License," Desktop, Embedded, Server "
GhostBSD,Eric Turgeon,2009,FreeBSD,19.10[2]," 2019, October 26 ",Free,BSD licenses," Desktop, workstation "
EComStation," Serenity Systems, Mensys BV ",2001,OS/2,2.1,2011,Home-student edition (max. three per site) US$145.00 (equivalent to $164.8 in 2019) business edition $290.00,Proprietary software," Server, workstation, personal computer "
EPOC32,Psion PLC,1996,,ER5,1999,Discontinued; Commercial,Proprietary software,PDA
GNU/GNU," Notable contributors include: Richard Stallman for Richard Stallman and Richard Stallman for Richard Stallman and the Unixes they emulated; Richard Stallman, Richard Stallman See: Richard Stallman and Richard Stallman "," 1991 (kernel), See: Comparison of Linux distributions and Comparison of Linux distributions ",None,5.8.9 (kernel)," 2020, September 12 (kernel) ",Free,GNU GPLv2 (kernel),See: Comparison of Linux distributions
Haiku (operating system),Haiku Inc.,2009,BeOS R5,R1/Beta 2," 2020, June 9 ",Free,MIT License,Personal computer
HP-UX,Hewlett-Packard (now Hewlett-Packard),1983,UNIX System V,11i v3 Update 16," 2017, May ",US$400,Proprietary software,Server
IBM i,IBM,1988,OS/400,7.3," 2016, April 15 ",Bundled with hardware,Proprietary software,Server
Inferno (operating system),Bell Labs,1997,Plan 9 from Bell Labs,Fourth Edition," 2009, June 30 ",Free," MIT License, MIT License, MIT License, MIT License "," NAS, server, embedded "
IOS,Apple Inc.,2007,macOS,13.7," 2020, September 1 "," Bundled with hardware and free updates given to most existing users, subject to hardware requirements "," Proprietary software higher level API layers; open source core system (ARM versions): Proprietary software, GNU GPL, others "," Smartphone, Smartphone, Smartphone "
IRIX,Silicon Graphics,1988,UNIX System V,6.5.30,2006,Discontinued; Bundled with hardware,Proprietary software," Server, workstation "
Classic Mac OS,Apple Inc.,1984,None[g 2][g 3],9.2.2,2000,Discontinued; Was bundled with 68k and 68k Macs; versions 7-9 sold as retail upgrades68k,Proprietary software," Workstation, personal computer "
MVS,IBM,1972,OS/360,MVS/ESA SP - JES3 Version 5 R2.2," 1995, September 29 ",Bundled with hardware,Proprietary software,IBM mainframe
MacOS,Apple Inc.,2001," NeXTSTEP, NeXTSTEP ",10.15.1  Catalina," 2019, October 29 "," Bundled with hardware; No-cost update via Mac App Store for users of Mac OS X 10.6 or later, assuming hardware requirements are met "," Proprietary software higher level API layers; open source core system (Intel-PowerPC versions): Proprietary software, GNU GPL, others "," Workstation, personal computer, embedded "
MacOS Server,Apple Inc.,2001," NeXTSTEP, BSD "," 10.12 / September 20, 2016 "," 2016, September 20 "," Previously bundled with hardware; No longer a separate operating system, but a group of services installed atop any current version of Mac OS X; US$19.99 on the Mac App Store "," Proprietary software higher level API layers; open source core system (Intel-PowerPC versions): APSL, GNU GPL, others ",Server
Multi-Programming Executive,Hewlett-Packard,1974,None,MPE-V,1988," Discontinued; Was bundled with HP-3000 CISC hardware ""Classic"" ",Proprietary software,Server
Burroughs MCP,Unisys,1961,None,CP OS 17.0," 2015, April ",Bundled with hardware,Proprietary software,Server
MPE/XL,Hewlett-Packard,1987,Multi-Programming Executive,7.5,2002,Discontinued; Was bundled with HP-3000 PA-RISC hardware,Proprietary software,Server
MINIX 3,Andrew S. Tanenbaum,2005,Minix2,3.3.0,2014,Free,BSD,Workstation
NetBSD,The NetBSD Project,1993,386BSD,8.1," 2019, May 31 ",Free,BSD," NAS, server, workstation, embedded "
Novell NetWare,Novell,1985,Novell S-Net,6.5 SP8," 2009, May 6 ",Superseded by Novell Open Enterprise Server; Was US$184 (equivalent to $219.28 in 2019) (one-user),Proprietary software,Server
NeXTSTEP,NeXT,1989,Unix,3.3,1995," Discontinued; Was bundled with hardware, then sold separately ",Proprietary software,Workstation
OpenBSD,The OpenBSD Project,1995,NetBSD 1.0,6.5," 2019, May 1 ",Free,ISC License," Server, NAS, workstation, embedded "
OpenIndiana," Many, based on software developed by Sun Microsystems and many others ",2010,OpenSolaris,2019.04," 2017, May 3[3] ",Free,CDDL," Server, workstation "
OpenVMS,Digital Equipment Corporation (now VSI),1977,RSX-11M,9.0," 2020, May 15 "," Commercial, free non-commercial use ",Proprietary software," Server, workstation "
OS/360,IBM,1966,None,Operating System/360 R21.8," 1972, August ",Bundled with hardware,Proprietary software,IBM mainframe
OS/390,IBM,1995,MVS,OS/390 Version 2 R10," 2000, September 29 ",Bundled with hardware,Proprietary software,IBM mainframe
OS 2200,Unisys,1967 as Exec 8e," OS 2200, OS 1100 ",CP OS 16 (Exec 49.2)," 2015, February 27 ",Bundled with hardware,Proprietary software,Server
OS/2,IBM and Microsoft,1987,MS-DOS,4.52,2001,Discontinued (see ArcaOS successor); Was US$300 (equivalent to $433.17 in 2019),Proprietary software," Personal computer, server "
Plan 9 from Bell Labs,Bell Labs,1993,Unix,Fourth Edition,2003 (except for minor later updates),Free,LPL," Workstation, server, embedded, High-performance computing "
QNX,QNX Software Systems,1982," Unix, Unix ",7.0.0," 2017, March ",Bundled with BlackBerry 10 and PlayBook devices. Commercial; an academic version exists that needs authorization code before installing,Proprietary software," Automotive, medical, smartphones, consumer, industrial, embedded, safety "
Solaris (operating system),Sun Microsystems (now Sun Microsystems),1992,SunOS,11.4," 2018, August 28 "," Commercial; (but free/no-cost perpetual license when used ""for the purpose of developing, testing, prototyping and demonstrating your applications""[4]) ",Common Development and Distribution License," Server, workstation "
Symbian,Symbian Ltd.,1998,EPOC32,9.5,2009,Discontinued; Commercial,Proprietary software,Phones
Symbian platform,Symbian Foundation,2010 (initially 1998 as Symbian),Symbian,3.0.4,2010,Free,Eclipse Public License,embedded
Windows Server (NT family),Microsoft,1993," OS/2, OS/2 and OS/2 ",Windows Server 2019 (Version 10.0.17763)," 2018, October 2 ",US$1050 5 CALs server; other editions dependent on number of Client Access License purchased,Proprietary software; Proprietary software," Server, NAS, embedded "
Microsoft Windows (Microsoft Windows),Microsoft,1993," OS/2, OS/2 and OS/2 ",Windows 10 (Version 2004)," 2020, May 27 "," Windows 10 Home US$119, Windows 10 Pro US$199[5] ",Proprietary software; Proprietary software," Workstation, personal computer, Home theater PC, Home theater PC, embedded "
Windows (classic 9x family),Microsoft,1995," MS-DOS, MS-DOS ",Windows Me (Win 4.90.3000),2000,Discontinued,Proprietary software," Personal computer, media center "
RISC iX,Acorn Computers,1988,BSD 4.3,1.21c,1993,Discontinued; Was bundled with hardware,Proprietary software,Workstation
RISC OS,Acorn Computers,1987," History of RISC OS, also the History of RISC OS OS ",3.71,1997,Discontinued; Was bundled with hardware,Proprietary software," Education, personal computer "
RISC OS 4," RISCOS Ltd, RISCOS Ltd ",1999,RISC OS,4.39,2004," Bundled with hardware, then sold separately at £70 (US$127) ",Proprietary software," Education, personal computer "
RISC OS 5," Castle Technology, Castle Technology ",2002,RISC OS 4,5.24[6],2018,Free,Apache License," Education, personal computer "
RISC OS 6,RISCOS Ltd,2006,RISC OS 4,6.20,2009," Bundled with hardware, then sold separately at £70 (US$127) ",Proprietary software," Education, personal computer "
Magnussoft ZETA,YellowTAB,2005,BeOS R5,1.5,2007,Discontinued,Proprietary software," Personal computer, media center, workstation "
XTS-400,BAE Systems,2003," STOP 5, XTS-300 ",6.5," 2008, August "," US$60,000 (equivalent to $71,249 in 2019)+; bundled with XTS hardware and Original equipment manufacturer ",Proprietary software," Server, workstation "
ReactOS,ReactOS development team,1996,Windows NT,0.4.13," 2020, April 9 ",Free," GNU GPL, GNU LGPL "," Workstation, personal computer "
TrueOS,PC-BSD Software,2006,FreeBSD[g 5],10.1[7]," 2014, November 16 ",Free,BSD," Personal computer, workstation, server "
VxWorks,Wind River Systems,1987,Versatile Real-Time Executive,7,2014 March,Paid,Proprietary software,Embedded Real-time systems
Z/OS,IBM,2000,OS/390,Version 2.3 (V2R3)," 2017, September 29 "," Monthly license fee, about US$130 and up ",Proprietary software,IBM mainframe
Z/VSE,IBM,2007,VSE (operating system),6.2," 2017, December 1 ",Monthly license fee,Proprietary software,IBM mainframe
Z/VM,IBM,2000,VM (operating system),7.1," 2018, September 21 [8] ",Monthly license fee,Proprietary software,IBM mainframe
NonStop (server computers),HP (now Hewlett Packard Enterprise),1974,Guardian (operating system) (page does not exist),H06.24/J06.13,2012,Non-free,Proprietary software,HP Nonstop Servers
Name,Creator,Initial public release,Predecessor,Current stable version,Release date," Cost, availability ",Preferred license[g 1],Target system type
