Format,Languages
string1  &amp;  string2," Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language), Ada (programming language) (between literals only) "
"  Strcat( string1 ,  string2 ) "," C (programming language), C (programming language) (C (programming language) C (programming language) only)C (programming language) "
string1  .  string2," Perl, Perl "
string1  +  string2," ALGOL 68, ALGOL 68 (STL), ALGOL 68, ALGOL 68, ALGOL 68, ALGOL 68, ALGOL 68, ALGOL 68 (ALGOL 68), ALGOL 68, ALGOL 68, ALGOL 68, ALGOL 68, ALGOL 68, ALGOL 68, ALGOL 68, ALGOL 68, ALGOL 68, ALGOL 68, Ya "
string1  ~  string2," D (programming language), D (programming language) "
(string-append  string1   string2 )," Scheme (programming language), Scheme (programming language) "
(concatenate 'string  string1   string2 ),Common Lisp
(str  string1   string2 ),Clojure
string1  ||  string2," Rexx, Rexx, Rexx "
string1  //  string2,Fortran
string1  ++  string2," Erlang (programming language), Erlang (programming language) "
string1  ^  string2," OCaml, OCaml, OCaml "
[ string1  stringByAppendingString: string2 ],Objective-C (NSString * only)
string1  ..  string2,Lua (programming language)
"  string1  ,  string2  "," Smalltalk, Smalltalk "
string1   string2,SNOBOL
string1string2,Bash shell
string1  <>  string2,Mathematica
concat  string1 string2,Tcl
