Engine,Status,Embedded in
WebKit,Active," Safari (web browser) browser, plus all browsers hosted on the Safari (web browser) Safari (web browser) "
Blink (browser engine),Active,Google Chrome and all other Google Chrome-based browsers like Google Chrome and Google Chrome
Gecko (software),Active," Firefox browser and Firefox email client, plus Firefox like Firefox and Firefox "
KHTML,Discontinued,Konqueror browser
Presto (browser engine),Discontinued,formerly in the Opera (web browser) browser
EdgeHTML,Deprecated,formerly in the Microsoft Edge browser; still maintained and available to be embedded within Microsoft Edge apps
Trident (software),Discontinued,Internet Explorer browser and Internet Explorer email client
