Format,Languages,If not found
" string in string(substring, pos,  string[startpos:] ) ",ALGOL 68," returns BOOL: TRUE or FALSE, and position in REF INT pos. "
" InStr(« startpos ,» string , substring ) ",Visual Basic (positions start at 1),returns 0
" INSTR$( string , substring ) ",BASIC (positions start at 1),returns 0
" index( string , substring ) ",AWK,returns 0
" index( string , substring «, startpos ») ",Perl 5,returns −1
" index( string , substring «, startpos »)    string .index( substring ,«, startpos ») ",Raku (programming language),returns Nil
" instr(« startpos ,» string , substring ) ",FreeBASIC,returns 0
" strpos( string , substring «, startpos ») ",PHP,returns FALSE
" locate( string ,  substring ) ",Ingres (database),returns string length + 1
" strstr( string ,  substring ) "," C (programming language), C (programming language) (C (programming language) C (programming language) only, returns pointer to first character) ",returns NULL
" std.string.indexOf( string ,  substring ) ",D (programming language),returns −1
" pos( string ,  substring «,  startpos ») ",Seed7,returns 0
" strings.Index( string ,  substring ) ",Go (programming language),returns −1
" pos( substring ,  string ) "," Pascal (programming language), Pascal (programming language) (Pascal (programming language)) ",returns 0
" pos( substring ,  string «, startpos ») ",Rexx,returns 0
"  string .find( substring «, startpos ») ",C++ (STL),returns std::string::npos
"  string .find( substring «, startpos «, endpos »») ",Python (programming language),returns −1
"  string .index( substring «, startpos «, endpos »») ",,raises ValueError
"  string .index( substring «, startpos ») ",Ruby (programming language),returns nil
"  string .indexOf( substring «, startpos ») "," Java (programming language), Java (programming language) ",returns −1
"  string .IndexOf( substring «, startpos «,  charcount »») "," Visual Basic .NET, Visual Basic .NET, Visual Basic .NET, Visual Basic .NET ",returns −1
" string:str( string ,  substring ) ",Erlang (programming language),returns 0
(string-contains  string   substring ),Scheme (programming language) (SRFI 13),returns #f
(search  substring   string ),Common Lisp,returns NIL
(string-index  substring   string ),ISLISP,returns nil
List.findIndex (List.isPrefixOf  substring ) (List.tails  string ),Haskell (programming language) (returns Just  index ),returns Nothing
Str.search_forward (Str.regexp_string  substring )  string  0,OCaml,raises Not_found
Substring.size (#1 (Substring.position  substring  (Substring.full  string ))),Standard ML,returns string length
[ string  rangeOfString: substring ].location,Objective-C (NSString * only),returns NSNotFound
" string.find( string ,  substring )   ( string ):find( substring ) ",Lua (programming language),returns nil
string  indexOfSubCollection:  substring  startingAt:  startpos  ifAbsent:  aBlock     string  findString:  substring  startingAt:  startpos," Smalltalk (Smalltalk, Smalltalk) ",evaluate aBlock which is a block closure (or any object understanding value)   returns 0
" startpos = INDEX( string ,  substring  «, back » «,  kind ») ",Fortran,returns 0 if substring is not in string; returns LEN(string)+1 if substring is empty
POSITION( substring  IN  string ),SQL,returns 0 (positions start at 1)
" index( string ,  substring ,  startpos  ) ",PL/IPL/I,returns 0 (positions start at 1)
" index( string ,  substring ,  occurrence  ) ",Pick Basic,returns 0 if occurrence of substring is not in string; (positions start at 1)
"  string .indexOf( substring «, startpos «,  charcount »») ",Cobra (programming language),returns −1
string first  substring string startpos,Tcl,returns −1
( substring ⍷ string )⍳1,APL (programming language),returns 1 + the last position in  string
