Model,Launch,Code name,Graphics core,Fab (nm),Transistors (million),Die size (Millimeter Squared),Bus interface,Core clock2 (MHz),Core config1,Fillrate,,,Memory3,,,,,Processing power (GFLOPS),Features / Notes
,,,,,,,,,,Pixel (Pixel/s),Texture (Texel (graphics)/s),FP32 (Pixel/s),Size (Megabyte),Bandwidth (Gigabyte/s),Bus type,Effective clock (MHz),Bus width (Bit),,
Radeon 3000 Graphics (760G Chipset),2009,AMD 700 chipset seriesAMD 700 chipset series,RV610,55,205,~73 (~9 × 8.05),HyperTransport,350,40:4:4,1.4,1.4,0.7,Up to 512 system,20.8 (system),HyperTransport (system),N/A,N/A,28,AVIVO
Radeon 3100 Graphics (780V Chipset),2008 Jan 23 (China) Mar 4 (Worldwide),AMD 790G,,,,,,,,,,,,,,,,,
Radeon HD 3200 Graphics (780G Chipset),,AMD 790G,,,,,,500,,2,2,1,Up to 512 system + optional 128 sideport,20.8 (system) + 2.6 (sideport),HyperTransport (system) + HyperTransport-1066 HyperTransport-1333 (sideport),1333 (sideport),16 (sideport),40," UVD, 8x AA (wide-tent UVD) "
Radeon HD 3300 Graphics (790GX Chipset),Jul 2008,AMD 790GX,,,,,,700,,2.8,2.8,1.4,Up to 512 system + 128 sideport,,HyperTransport (system) + HyperTransport-1333 (sideport),,,56," UVD, UVD "
