Title, Publisher, First published, Latest edition, Year, Pages, Entries (approx.), Main dialect, Pronunciation guide
American Heritage College Dictionary, Houghton Mifflin Harcourt, 2002, 4th[2] ( ISBN 0-547-24766-4), 2010, 1664, , American, Diacritical
Merriam-Webster's Collegiate Dictionary, Merriam-Webster, 1898, 11th ( ISBN 0-8777-9809-5), 2003, 1664, 165000, American, Diacritical
Webster's New World College Dictionary, Houghton Mifflin Harcourt, 1953, 5th, 2014, 1736, 163000, American, Diacritical
