ADC hub,Free and open source software,Software license,Active,Last Update,Notes
ADCH++,Yes,GNU General Public License,Yes,2016-03-08 / 2.12.1
ADCH++ GUI,Yes,GNU General Public License,No,
DSHub,Yes,GNU General Public License,No,2008-10-09 / RC1
FlexHub,Yes,Affero General Public License,Yes,2013-10-20 / 0.2 svn 1469
Luadch,Yes,GNU General Public License,Yes,2019-10-13 / v2.20
Nexthub,Yes,MIT License,No,
uhub,Yes,GNU General Public License,Yes,2014-10-17 / 0.5.0,In DebianDebian and DebianDebian
ErlHub,Yes,GNU General Public License,?,
Qhub,Yes,GNU General Public License,No,2006-07-09 / v0.10
Starlet ADC Hub,No,Proprietary software,Yes,
Starhub,No,source code available,No,
RusHub,Yes,GNU General Public License,Yes,2012-07-10 / 2.3.10
ADC hub,FOSS,Software license,Active,
