IRC daemon,Channel types,Halfop support (+h %),Admin/protect support (+a/+u &amp;/!/*),Founder/owner support (+q ~/.),Operator prefixing[66],Advanced operator ACL," Operator ""levels""[67] ",vHost via I-line (or equivalent),i18n nicknames[68],RDBMS integration (SQL)
Bahamut,#,No,No,No,No,No,No,Partial,No,No
bIRCd,# &amp;,No,No,No,No,No,No,Partial,No,No
Charybdis,# &amp;,No,No,No,No,Yes,Yes,Yes,No,No
ConferenceRoom,# &amp;,No,No,Yes,No,Yes,Yes,Yes,Partial,Partial
FoxEye ircd,# &amp; ! +,Module,No,No,No,No,No,Yes,Yes,No
InspIRCd,#,Yes,Module,Module,Module,Yes,Module,Yes,Module," Old versions: MySQL, SQLite &amp; PostgreSQL: Authorization, Services Integration, Logging, Operaccess "
IRCD,# &amp; ! +,No,No,No,No,No,No,No,No,No
IRCD-Hybrid,#,Yes,No,No,No,No,No,Yes,No,No
ircd-ratbox,# &amp;,No,No,No,No,No,No,Yes,No,No
ircu,# &amp;,No,Yes,No,No,Yes,No,No,No,No
ithildin,#,No,No,No,Yes,Yes,Yes,No,No,No
miniircd,+ # &amp; !,No,No,No,No,No,No,No,No,No
Nefarious IRCu,# &amp;,Yes,No,No,No,Yes,No,Yes,No,No
ngIRCd,# &amp; +,Yes[69],Yes,Yes,No,No,No,No,No,No
OfficeIRC Server,# %# &amp; %&amp;,No,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Partial
Oragono,#,Yes,Yes,Yes,No,Yes,Unknown,No,Yes,No
PleXusIRCd,# &amp;,Yes,Yes,Yes,No,No,Unknown,Yes,Unknown,No
pureIRCd,#,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
RockIRCd,#,No,Yes,Yes,Unknown,Unknown,Yes,No,Unknown,No
RubIRCd,#,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
ShadowIRCd,# &amp;,Yes,Yes,No,No,Yes,Yes,Yes,No,No
snircd,# &amp;,No,Yes,No,No,Yes,No,Yes,No,No
solid-ircd,#,Yes,No,No,No,No,No,Partial,No,No
Synchronet IRCd,# &amp;,No,No,No,No,No,No,No,No,No
UnrealIRCd,#,Yes,Yes,Yes,No,Yes,Third party module (netadmins)[70]," Yes, vhost block in conf "," iso8859-1/2/7/8-I/9/16, windows-1250/1251, Multibyte ",MySQL &amp; PostgreSQL: Third party modules [71]
WeIRCd,#,Yes,No,No,No,No,No,No,No,SQLite in services module
