Integrated development environment,Software license,Microsoft Windows,Linux,MacOS,Software developer,Latest stable Software release life cycle
Microsoft Visual Studio,Proprietary software Community Edition: Proprietary software,Yes,No,No,Microsoft," 15.7  / August 1, 2018 "
Visual Studio CodeVisual Studio Code,source code(MIT License) - binary(MIT License),Yes,Yes,Yes,Microsoft," 1.25 / June, 2018 "
Rider (software)Rider (software),Proprietary software,Yes,Yes,Yes,JetBrains," 2018.1  / April 19, 2018 "
