Database Name,ACID,Referential integrity,Database transaction,Fine-grained Lock (computer science),Multiversion concurrency control,Unicode,Interface,Type inference
4th Dimension (Software),Yes,Yes,Yes,?,?,Yes,Graphical user interface &amp; Graphical user interface,Yes
ADABAS,Yes,No,Yes,?,?,Yes,proprietary direct call &amp; SQL (via 3rd party),Yes
Adaptive Server Enterprise,Yes,Yes,Yes,Yes (Row-level locking),Yes,Yes,API &amp; API &amp; API,Yes
Advantage Database Server,Yes,Yes,Yes,Yes (Row-level locking),?,Yes4,API &amp; API,Yes
Altibase,Yes,Yes,Yes,Yes (Row-level locking),?,Yes,API &amp; API &amp; API,Yes
Apache Derby,Yes,Yes,Yes,Yes (Row-level locking) [49],?,Yes,SQL,Yes
Clustrix,Yes,Yes,Yes,Yes,Yes,Yes,SQL,Yes
CUBRID,Yes,Yes,Yes,Yes (Row-level locking),?,Yes,Graphical user interface &amp; Graphical user interface,Yes
IBM DB2,Yes,Yes,Yes,Yes (Row-level locking)[50],?,Yes,Graphical user interface &amp; Graphical user interface,Yes
Empress database,Yes,Yes,Yes,?,?,Yes,Graphical user interface &amp; Graphical user interface,Yes
EXASOL,Yes,Yes,Yes,?,?,Yes,Graphical user interface &amp; Graphical user interface &amp; Graphical user interface,Yes
Firebird (database server),Yes,Yes,Yes,?,Yes,Yes,API &amp; API,Yes
HSQLDB,Yes,Yes,Yes,?,Yes,Yes,SQL,Yes
H2 (DBMS),Yes,Yes,Yes,?,Yes[51],Yes,SQL,Yes
Informix Dynamic Server,Yes,Yes,Yes,Yes (Row-level locking),Yes,Yes," SQL, REST, and SQL ",Yes
Ingres (database),Yes,Yes,Yes,Yes (Row-level locking),Yes,Yes,SQL &amp; SQL,Yes
InterBase,Yes,Yes,Yes,?,?,Yes,SQL,Yes
Linter SQL RDBMS,Yes,Yes,Yes (Except for Data Definition Language),Yes (Row-level locking),?,Yes,API &amp; API &amp; API,Yes
LucidDB,Yes,No,No,?,?,Yes,SQL,Yes
MariaDB,Yes2,Yes6,YesData Definition Language except for Data Definition LanguageData Definition LanguageData Definition Language,Yes (Row-level locking),Yes,Yes,SQL,Yes
MaxDB,Yes,Yes,Yes,?,?,Yes,SQL,Yes
Microsoft Access (JET),Yes,Yes,Yes,?,?,Yes,Graphical user interface &amp; Graphical user interface,Yes
Microsoft Visual FoxPro,Yes,Yes,Yes,Yes (Row-level locking SMB2),Yes,No,Graphical user interface &amp; Graphical user interface,Yes
Microsoft SQL Server,Yes,Yes,Yes,Yes (Row-level locking)[54],Yes,Yes,Graphical user interface &amp; Graphical user interface,Yes
SQL Server Compact,Yes,Yes,Yes,?,?,Yes,Graphical user interface &amp; Graphical user interface,Yes
Mimer SQL,Yes,Yes,Yes,Yes (Optimistic locking),Yes,Yes,API &amp; API &amp; API,Yes
MonetDB,Yes,Yes,Yes,?,?,Yes,API &amp; API &amp; MAL,Yes
MySQL,Yes2,Yes3,YesData Definition Language except for Data Definition LanguageData Definition Language,Yes (Row-level locking)[55],Yes,Yes,Graphical user interface Graphical user interface &amp; Graphical user interface,Yes
OpenEdge Database,Yes,Yes7,Yes,Yes (Row-level locking),?,Yes,Graphical user interface &amp; Graphical user interface,Yes
Virtuoso Universal Server,Yes,Yes,Yes,?,?,Yes,API &amp; API &amp; API,Yes
Oracle Database,Yes,Yes,Yes except for Data Definition LanguageData Definition Language,Yes (Row-level locking)[56],Yes,Yes,API &amp; API &amp; API,Yes
Oracle Rdb,Yes,Yes,Yes,?,?,Yes,SQL,Yes
Pervasive PSQL,Yes,Yes,Yes,?,?,Yes6,API &amp; API &amp; API,Yes
Polyhedra DBMS,Yes,Yes,Yes,Yes (optimistic and pessimistic cell-level locking)[57],?,Yes,API &amp; API,Yes
PostgreSQL,Yes,Yes,Yes,Yes (Row-level locking)[58],Yes,Yes,API &amp; API &amp; API,No[59]
Raima Database Manager,Yes,Yes,Yes,?,Yes,Yes,SQL &amp; SQL,Yes
RDM Server,Yes,Yes,Yes,?,?,Yes,SQL &amp; SQL,Yes
SAP HANA,Yes,Yes,Yes,Yes (Row-level locking),Yes,Yes,API &amp; API &amp; API,Yes
SolidDB,Yes,Yes,Yes,Yes (Row-level locking),?,Yes,API &amp; API,Yes
SQL Anywhere,Yes,Yes,Yes,Yes (Row-level locking)[60],Yes[61],Yes,API &amp; API &amp; API (REST &amp; SOAP)API &amp; API,Yes
SQLBase,Yes,Yes,Yes,?,?,Yes,API &amp; API &amp; API,Yes
SQLite,Yes,Yes,Yes,No (Database-level locking)[63],No,Optional[64],API &amp; API,Yes
Teradata,Yes,Yes,Yes,Yes (Hash and Partition),?,Yes,SQL,Yes
Tibero,Yes,Yes,Yes,Yes (Row-level locking),Yes,Yes,API &amp; API &amp; API,Yes
UniData,Yes,No,Yes,?,?,Yes,Multiple,Yes
UniVerse,Yes,No,Yes,?,?,Yes,Multiple,Yes
Database Name,ACID,Referential integrity,Database transaction,Fine-grained Lock (computer science),Multiversion concurrency control,Unicode,Interface,Type inference
