Function,Year,Designer,Derived from,Reference
BLAKE (hash function),2008,Jean-Philippe Aumasson Luca Henzen Willi Meier Raphael C.-W. Phan,ChaCha20,Website Specification
BLAKE2,2012,Jean-Philippe Aumasson Samuel Neves Zooko Wilcox-O'Hearn Christian Winnerlein,BLAKE (hash function)," Request for Comments Request for Comments .mw-parser-output cite.citation{font-style:inherit}.mw-parser-output .citation q{quotes:""\""""""\""""""'""""'""}.mw-parser-output .citation .cs1-lock-free a{background:url(""//upload.wikimedia.org/wikipedia/commons/thumb/6/65/Lock-green.svg/9px-Lock-green.svg.png"")no-repeat;background-position:right .1em center}.mw-parser-output .citation .cs1-lock-limited a,.mw-parser-output .citation .cs1-lock-registration a{background:url(""//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Lock-gray-alt-2.svg/9px-Lock-gray-alt-2.svg.png"")no-repeat;background-position:right .1em center}.mw-parser-output .citation .cs1-lock-subscription a{background:url(""//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Lock-red-alt-2.svg/9px-Lock-red-alt-2.svg.png"")no-repeat;background-position:right .1em center}.mw-parser-output .cs1-subscription,.mw-parser-output .cs1-registration{color:#555}.mw-parser-output .cs1-subscription span,.mw-parser-output .cs1-registration span{border-bottom:1px dotted;cursor:help}.mw-parser-output .cs1-ws-icon a{background:url(""//upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wikisource-logo.svg/12px-Wikisource-logo.svg.png"")no-repeat;background-position:right .1em center}.mw-parser-output code.cs1-code{color:inherit;background:inherit;border:inherit;padding:inherit}.mw-parser-output .cs1-hidden-error{display:none;font-size:100%}.mw-parser-output .cs1-visible-error{font-size:100%}.mw-parser-output .cs1-maint{display:none;color:#33aa33;margin-left:0.3em}.mw-parser-output .cs1-subscription,.mw-parser-output .cs1-registration,.mw-parser-output .cs1-format{font-size:95%}.mw-parser-output .cs1-kern-left,.mw-parser-output .cs1-kern-wl-left{padding-left:0.2em}.mw-parser-output .cs1-kern-right,.mw-parser-output .cs1-kern-wl-right{padding-right:0.2em}Request for Comments Request for Comments "
GOST (hash function),1994,FAPSI and VNIIstandart,GOST (block cipher),Request for Comments Request for Comments
HAVAL,1992,Yuliang Zheng Yuliang Zheng Yuliang Zheng,,Website Specification
KangarooTwelve,2016,Guido Bertoni Joan Daemen Michaël Peeters Joan Daemen,Keccak,Website Specification
MD2 (hash function),1989,Ronald Rivest,,Request for Comments Request for Comments
MD4,1990,,,Request for Comments Request for Comments
MD5,1992,,MD4,Request for Comments Request for Comments
MD6,2008,,,Website Specification
RIPEMD,1992,The RIPE Consortium[1],MD4,
RIPEMD-128 RIPEMD-128 RIPEMD-128 RIPEMD-128,1996,Hans Dobbertin Antoon Bosselaers Hans Dobbertin,RIPEMD,Website Specification
SHA-0,1993,National Security Agency,,SHA-0
SHA-1,1995,,SHA-0,Specification
SHA-256 SHA-256 SHA-256,2002,,,
SHA-224,2004,,,
SHA-3 (Keccak),2008,Guido Bertoni Joan Daemen Michaël Peeters Joan Daemen,RadioGatún,Website Specification
Streebog,2012," Federal Security Service, InfoTeCS JSC ",,Request for Comments Request for Comments
Tiger (hash function),1995,Ross J. Anderson Ross J. Anderson,,Website Specification
Whirlpool (hash function),2004,Vincent Rijmen Vincent Rijmen,,Website
