Country, Active, In orbit, Decayed, Total
IMG China, 352, 407, 84, 491
IMG Japan, 90, 183, 65, 248
IMG India, 64, 101, 12, 113
IMG Israel, 17, 20, 6, 26
IMG South Korea, 15, 22, 5, 27
