,Array data type,List (computing),Set (computer science),Multiset,Reference (computer science)
CUBRID,Yes,Yes,Yes,Yes,Yes
Oracle database,Yes,Yes,Yes,Yes,Yes
Virtuoso Universal Server,Yes,Yes,Yes,Yes,Yes
PostgreSQL,Yes,Yes,Yes,Yes,Yes
Informix,No,Yes,Yes,Yes,Yes
