Languages,Size,First,Last
Ada (programming language)," .mw-parser-output .monospaced{font-family:monospace,monospace} name 'Length",name 'First,name 'Last
ALGOL 68,UPB  name  - LWB  name +1   2 UPB  name  - 2 LWB  name +1   etc.,LWB  name    2 LWB  name    etc.,UPB  name     2 UPB  name    etc.
APL (programming language),⍴  name    (⍴  name )[ index ],⎕IO,(⍴  name )-~⎕IO   (⍴  name )[ index ]-~⎕IO
AWK,length,1,asorti
" C Sharp (programming language), C Sharp (programming language), C Sharp (programming language), C Sharp (programming language) ",name .Length,name .GetLowerBound( dimension ),name .GetUpperBound( dimension )
CFML,arrayLen( name )    name .len(),1,name .len()
Ch (computer programming),max(shape( name )),0,max(shape( name ))-1
Common Lisp,(length  name ),0,(1- (length  name ))
D (programming language),name .length,0,name .length-1   $-1
Fortran,SIZE( name ),LBOUND( name ),UBOUND( name )
Go (programming language),len( name ),0,len( name ) - 1
Haskell (programming language),rangeSize (bounds  name ),fst (bounds  name ),snd (bounds  name )
ISLISP,(length  name ),0,(1- (length  name ))
" Cobra (programming language), Cobra (programming language), Cobra (programming language), Cobra (programming language), Cobra (programming language), Cobra (programming language) ",name .length,0,name .length - 1
J (programming language),# name,0,<:@# name
Julia (programming language),length( name ) size( name ),1 first.(axes( name )),end last.(axes( name ))
Lingo (programming language),count( name ),1,getLast( name )
LiveCode,length( name ),1   first,-1   last
Lua (programming language),# name,1 by convention; any integer[2],# name
Mathematica,Length[ name ],1   First[ name ],-1   Last[ name ]
" MATLAB, MATLAB ",length( name ),1,end
Nim (programming language),name .len,name .low[3],name .high
Oberon (programming language),LEN( name ),0,LEN( name ) - 1
Object Pascal,Length( name ),0  low( name ),Length( name )-1  high( name )
Objective-C (NSArray * only),[ name  count],0,[ name  count] - 1
OCaml,Array.length  name,0,Array.length  name  - 1
Perl,scalar(@ name ),$[,$# name
PHP,count($  name ),0,count($  name ) - 1
Python (programming language),len( name ),0,-1   len( name ) - 1
R (programming language),length( name ),1,length( name )
Raku (programming language),@  name .elems,0,@ name .end
Red (programming language),length?  name,name /1   first  name,last  name
Ruby (programming language),name .size,0    name .first,-1    name .size - 1    name .last
Rust (programming language),name .len(),0,name .len() - 1
S-Lang (programming library),length( name ),0,-1   length( name )-1
Scheme (programming language),(vector-length  vector ),0,(- (vector-length  vector ) 1)
Smalltalk,name  size,1    name  first,name  size    name  last
Swift (programming language),name. count,0,name. count - 1
Visual Basic,UBound( name )-LBound( name )+1,LBound( name ),UBound( name )
Wolfram Language,Length[ name ],1   First[ name ],-1   Last[ name ]
Xojo,UBound( name ),0,UBound( name )
XPath/XPath,count($ name ),1,count($ name )   last()  array:size( name )[4]
