Title,Publisher,First published,Latest edition,Year,Pages,Entries (approx.),Main dialect,Pronunciation guide
The American Heritage Dictionary of the English Language,Houghton Mifflin Harcourt,2002,4thISBN (identifier) ( ISBN (identifier) ISBN (identifier)),2010," 1,664 ",,American English,Pronunciation respelling for English
Webster's Dictionary,Merriam-Webster,1898,11th ( ISBN (identifier) ISBN (identifier)),2003," 1,664 "," 165,000 ",American English,Pronunciation respelling for English
Webster's New World Dictionary,Houghton Mifflin Harcourt,1953,5th,2014," 1,736 "," 163,000 ",American English,Pronunciation respelling for English
