Attribute,Element,Alternative solution,Trident (layout engine),Gecko (layout engine),WebKit,KHTML,Presto (layout engine)
align," caption, div, fieldset, h1, h2, h3, h4, h5, h6, hr, img, input, legend, p, object, table",CSS,3.1,Yes,Yes,Yes,Yes
alink,body,CSS,,,No,,
background,body,CSS,,,Yes,,
bgcolor," body, table, tr, td, th",CSS,,,,,
border," img, object",CSS,Partial[note 8]
clear,br,CSS,No
compact," dl, ul, ol",CSS,,No,No,,
color," basefont, font",CSS,3.1,Partial[note 9][7],Partial[note 9],,
height," td, th",CSS,,Yes,Yes,,
hspace," img, object",CSS,,,,,
language,script,The type attribute,No[ Wikipedia:Citation needed ],,
link,body,CSS,Yes,,
noshade,hr,CSS,,,
nowrap," td, th",CSS,,,
size," basefont, font, hr",CSS,,,
start,ol,None,,,
text,body,CSS,,,
type," li, ul, ol",CSS,,,
version,html,Document Type Declaration,No,No,No,,,No,No
vlink,body,CSS,Yes,Yes,Yes,,,Yes,Yes
width," hr, pre, td, th",CSS,,,,,,,
vspace," img, object",CSS,,,,,,,
