,English,Esperanto,Novial
Infinitive,(to) love,am-i,ama
Simple Present tense,love(s),am-as,ama
Future tense,will (shall) love,am-os,sal ama
Simple Past tense,loved,am-is,did ama (ama-d)
Present Perfect (grammar),have (has) loved,est-as am-int-a(j),ha ama
Pluperfect,had loved,est-is am-int-a(j),ha-d ama
Future tense Future tense,will (shall) have loved,est-os am-int-a(j),sal ha ama
Future tense in the past,"   was going to (would, should) love ",est-is am-ont-a(j),sal-ed ama
Conditional mood,would (should) love,am-us,vud ama
Conditional mood Conditional mood,would (should) have loved,est-us am-int-a(j),vud ha ama
First Imperative mood,let us love!,ni am-u!,let nus ama!
Second Imperative mood,love!,am-u!,ama!
Third Imperative mood,let him love!,li am-u!,let lo ama!
Present tense Present tense,"   is (am, are) loving ",est-as am-ant-a(j),es ama-nt
Future tense Future tense,shall (will) be loving,est-os am-ant-a(j),sal es ama-nt
Past tense Past tense,was (were) loving,est-is am-ant-a(j),did es (es-ed) ama-nt
