Client,Developer,First public release,Active users,Registration requirement,Software license,Operating system,,,,,,End-to-end encryption 2-user chat,End-to-end encryption group chat,File transfer,Voice recording,Client,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,Custom Emoji,Sticker (messaging),Self-destructing messages,Screenshot protection,Theme (computing) / Theme (computing),Plug-in (computing),Peer-to-peer text chat,Open-source software servers,Federation (information technology) servers,Client
Sicher (software),SHAPE GmbH,June 2014; 5 years ago (2014-06),,,Proprietary software Proprietary software,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Sicher (software),,,,,,No,,Yes,,,,No,No,No,Sicher (software)
Silence,,,,Phone number,GPLv3,No,No,No,No,Yes,No,Yes,No,Yes,No,Silence,No,No,Yes,No,Yes,-,-,Yes,Yes,Yes,No,,Sms,Sms,Silence
Signal (software),Signal Messenger,July 2014; 5 years ago (2014-07),,Phone number,GPLv3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Signal (software),Yes,Yes,Yes,No,Partial,No,No,Yes,Yes,Yes,No,No,Yes,No,Signal (software)
Silent Circle (software),Silent Circle (software)," January 16, 2013; 6 years ago (2013-01-16) ",,,Proprietary software Proprietary software,No,No,No,No,Yes,Yes,Yes,Yes[9],Yes,,Silent Circle (software),,,,,,No,,Yes,Yes,,,No,No,No,Silent Circle (software)
Skype," Skype Technologies, a subsidiary of Skype Technologies ",2003; 16 years ago (2003),300 million (2018)[10],,Proprietary software Proprietary software Proprietary software,Yes,Yes,Yes,No,Yes,Yes,Optional,No,Yes,Yes,Skype,Yes,Yes,,Yes,,No,,,,No,Yes,No,No,No,Skype
Slack (software),Slack Technologies,August 2013; 6 years ago (2013-08),,Email,Proprietary software Proprietary software,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Slack (software),,,,,,Yes,,,,Yes,Yes,No,No,No,Slack (software)
Snapchat,Snap Inc.,November 2011; 8 years ago (2011-11),294 million (2019)[11],Email / Phone number,Proprietary software Proprietary software,No,No,No,No,Yes,Yes,No,No,No,Yes,Snapchat,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Snapchat
Surespot,Surespot LLC,2013; 6 years ago (2013),,,GPLv3,No,No,No,No,Yes,Yes,Yes,No groupchat,Yes,Yes,Surespot,Yes,No,,,,No,,No,,Yes,No,No,No,No,Surespot
Telegram (software),Telegram Messenger LLP,2013; 6 years ago (2013),200 million (2019)[12],Phone number," GPLv2, GPLv2GPLv2 ",Yes,Yes,Yes,Yes,Yes,Yes,Optional,No,Yes,Yes,Telegram (software),Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Telegram (software)
Tencent QQ,Tencent Holdings,February 1999; 20 years ago (1999-02),823 million (2019)[14],,Proprietary software Proprietary software,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Tencent QQ,Yes,Yes,,,,No,,,,Yes,No,No,No,No,Tencent QQ
Threema,Threema GmbH,December 2012; 7 years ago (2012-12),,,Proprietary software Proprietary software,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Threema,,,,,,No,,No,,,,No,No,No,Threema
Trillian (software),Cerulean Studios," July 1, 2000; 19 years ago (2000-07-01) ",,,Proprietary software Proprietary software Proprietary software,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Partial,Trillian (software),Yes,Yes,Yes,,,Yes,,,,Yes,Yes,No,No,Yes,Trillian (software)
Viber,Rakuten Viber," December 2, 2010; 9 years ago (2010-12-02) ",260 million (2019)[15],Phone number,Proprietary software Proprietary software,Yes,Yes,Yes,No,Yes,Yes,Optional,Optional,Yes,Yes,Viber,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Viber
WeChat,Tencent," January 21, 2011; 8 years ago (2011-01-21) ",1112 million (2019)[16],Phone number/QQ number,Proprietary software Proprietary software,No,No,No,No,Yes,Yes,No,No,Yes,,WeChat,,,,,,No,,,,,,No,No,No,WeChat
WhatsApp," WhatsApp Inc., a subsidiary of WhatsApp Inc. ",January 2009; 10 years ago (2009-01),1600 million (2019)[17],Phone number,Proprietary software Proprietary software,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,WhatsApp,Yes,Yes,Yes,No,Partial,No,Yes,No,No,No,No,No,No,No,WhatsApp
Wickr,Wickr Inc.,June 2012; 7 years ago (2012-06),,N/A,Proprietary software Proprietary software,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Wickr,Yes,Yes,,,,No,,Yes,Yes,No,Yes,No,No,No,Wickr
Wire (software),Wire Swiss GmbH," December 3, 2014; 5 years ago (2014-12-03) ",,Email / Phone number,GPLv3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wire (software),Yes,Yes,Yes,Yes,Yes,No,No,Yes[18],No,No,No,No,Yes[19],No,Wire (software)
Client,Developer,First public release,Active users,Registration requirement,Software license,Microsoft Windows,MacOS,Linux,Web application,Android (operating system),IOS,End-to-end encryption 2-user chat,End-to-end encryption group chat,File transfer,Voice recording,Client,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,Custom Emoji,Sticker (messaging),Self-destructing messages,Screenshot protection,Theme (computing) / Theme (computing),Plug-in (computing),Peer-to-peer text chat,Open-source software servers,Federation (information technology) servers,Client
Operating system,,,,,,,,,,,,,,,,,,,,,,,,,,
