John McCain,,Barack Obama,
" John McCain believes that the Right to keep and bear arms is a fundamental, individual Constitutional right. In the past he has voted to protect gun manufacturers from attempts to make them liable for crimes committed by third parties. McCain opposes restrictions on assault rifles and has voted against such bans. He has supported legislation requiring gun manufacturers to include gun safety devices such as Right to keep and bear arms in product packaging. He cosponsored legislation to lift the Right to keep and bear arms. McCain opposed ""waiting periods"" for the purchase of firearms.Right to keep and bear arms McCain also voted against the 1993 Right to keep and bear arms to restrict the availability of handguns.Right to keep and bear arms ",," During a February 15, 2008 press conference, Obama stated, ""I think there is an individual right to bear arms, but it's subject to commonsense regulation.""[ Wikipedia:Citation needed ] He supports the right of local municipalities to determine gun laws.Wikipedia:Citation neededWikipedia:Citation needed Obama has also stated that he will work to reintroduce the expired Wikipedia:Citation needed and to make it permanent.Wikipedia:Citation needed In Illinois, he backed changes to state law that included a ban on assault weapons sales and limiting handgun sales to one a month. In Congress, he voted to leave gun-makers and dealers open to lawsuits for actions committed by third parties.Wikipedia:Citation neededWikipedia:Citation needed Obama has proposed outlawing types of ammunition.Wikipedia:Citation needed ",
Chuck Baldwin,Bob Barr,Cynthia McKinney,Ralph Nader
Supports the Right to bear arms as an individual right.Right to bear arms," Supports the Right to bear arms as an individual right. ""I oppose any law requiring registration of, or restricting the ownership, manufacture, or transfer or sale of firearms or ammunition to law-abiding citizens.""Right to bear arms ",,
