Model,Code name,Fab (Nanometer),Computer bus Computer bus,Core clock (Hertz),Shader clock (Hertz),Memory clock (Hertz),Core config1,Fillrate,,Memory,,,,Processing power (GFLOPS),Supported Application programming interface version,,Nvidia Optimus technology,Thermal design power (Watts)
,,,,,,,,Pixel (Pixel/s),Texture (Texel (graphics)/s),Size (Megabyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit),Single precision floating-point format,Direct3D,OpenGL,,
Quadro K2200M,GM107,28,PCIe 3.0 ×16,1150,1150,1253 (5012),640:40:16 (5 SMM),,,2048 4096,80.2,GDDR5,128,1455.8,12.1,4.5,Yes,55
