,,Trident (layout engine),Tasman (layout engine),Gecko (layout engine),WebKit,KHTML,Presto (layout engine)
Interface CDATASection,,,,,,,
DOM1,(no properties),No,No,1.0,Yes,?,2.0
Interface DocumentType,,,,,,,
DOM1,name,No,No,1.0,Yes,?,1.0
,entities,,,No[g 2],,?,
,notations,,,,,?,
DOM2,publicId,No,No,1.0,Yes,?,1.0
,systemId,,,,,?,
,internalSubset,,,,,?,
Interface Notation,,,,,,,
DOM1,publicId,No,No,1.0,Yes,?,2.0
Interface Entity,,,,,,,
DOM1,publicId,No,No,1.0,Yes,?,No
,notationName,,,,,?,
DOM3,inputEncoding,No,No,No,No,?,No
,xmlEncoding,,,,,?,
,xmlVersion,,,,,?,
Interface EntityReference,,,,,,,
DOM1,(no properties),No,No,1.0,Yes,?,No
Interface ProcessingInstruction,,,,,,,
DOM1,target,No,No,1.0,Yes,?,2.0
,data,,,,,?,
