Client,Offline support,Search,Annotations,News Filtering,Pluginable,Automatic Update,Publish Capabilities
Akregator,Yes,?,?,?,?,?,?
Amarok (software),?,?,?,?,?,?,?
AOL Explorer,?,?,?,?,?,?,?
Avant Browser,?,?,?,?,?,?,?
Awasu,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BlogBridge,?,?,?,?,?,?,?
Canto (news aggregator),?,?,?,?,?,?,?
Claws Mail,?,?,?,?,?,?,?
CommaFeed,?,Yes,?,?,?,Yes,?
Cooliris (plugin),?,?,?,?,?,?,?
Feed Viewer,Yes,Yes,?,No,No,Yes,Sharing
FeedDemon,Yes,?,?,?,?,?,?
Feedreader (Windows Application),Yes,Yes,?,?,?,Yes,?
Flock (web browser),?,?,?,?,?,?,?
Gnus,Yes,Yes,?,?,?,Yes,?
IBM Lotus Notes,?,?,?,?,?,?,?
Internet Explorer,?,?,?,?,?,?,?
ITunes,?,?,?,?,?,?,?
Juice (aggregator),?,?,?,?,?,?,?
K-Meleon,?,?,?,?,?,?,?
Kazehakase,?,?,?,?,?,?,?
Liferea,Yes,Yes,?,Yes,?,Yes,?
Mail (OS X),?,?,?,?,?,?,?
Maxthon,?,?,?,?,?,?,?
MediaMonkey,?,?,?,?,?,?,?
Microsoft Office Outlook,?,?,?,?,?,?,?
Mozilla Firefox,?,?,?,?,?,?,?
Mozilla Thunderbird,Yes,Yes,?,Yes,?,Yes,?
NetNewsWire,Yes,Yes,?,?,?,?,?
Netscape Browser,?,?,?,?,?,?,?
Netscape Navigator 9,?,?,?,?,?,?,?
NewsAccess,?,?,?,?,?,?,?
NewsBlur,Yes,Yes,Yes,Yes,?,?,Yes
NewsFire,?,?,?,?,?,?,?
OmniWeb,?,?,?,?,?,?,?
Opera Mail,Yes,Yes,?,Yes,No,Yes,No
Pegasus Mail,?,?,?,?,?,?,?
Rhythmbox,?,?,?,?,?,?,?
RSS Bandit,?,?,?,?,?,?,?
RSSOwl,No,Yes,?,Yes,Yes,Yes,?
Safari (web browser),?,?,?,?,?,?,?
Sage (Mozilla Firefox extension),?,?,?,?,?,?,?
SeaMonkey Mail &amp; Newsgroups,?,?,?,?,?,?,?
Shiira,?,?,?,?,?,?,?
Sleipnir (web browser),?,?,?,?,?,?,?
Songbird (software),?,?,?,?,?,?,?
The Bat!,Yes,Yes,Yes,Yes,Yes,Yes,Yes
The Old Reader,Via some mobile apps,Yes,?,?,?,Yes,Sharing
Tiny Tiny RSS,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Winamp,?,?,?,?,?,?,?
Windows Live Mail,?,?,?,?,?,?,?
Zimbra,?,?,?,?,?,?,?
Zune,?,?,?,?,?,?,?
