John McCain,,Barack Obama,
" In October 2005, McCain, a former POW, introduced the POW to the Defense Appropriations bill for 2005. That month, the U.S. Senate voted 90–9 to support the amendment.POW In October 2007, McCain said of POW that, ""They [other presidential candidates] should know what it is. It is not a complicated procedure. It is torture.""POW However, in February 2008 he voted against HR 2082, the POW, which included provisions that would have prevented the CIA from waterboarding prisoners. ",," Obama voted against the Military Commissions Act of 2006Military Commissions Act of 2006 and later voted to restore  Military Commissions Act of 2006  to those detained by the U.S. (which had been stripped by the Military Commissions Act).Military Commissions Act of 2006 He has advocated closing the Military Commissions Act of 2006, but has not supported two specific bills that would have done so.Military Commissions Act of 2006 Obama opposes the use of torture.Military Commissions Act of 2006 ",
Chuck Baldwin,Bob Barr,Cynthia McKinney,Ralph Nader
,,," Nader views Extraordinary rendition by the United States as leading to diminished respect around the world.Extraordinary rendition by the United States ""Constitutional crimes against due process, probable cause, habeas corpus, together with torture and indefinite imprisonment... will worsen and erode American jurisprudence with serious consequences for both the nation's security and its liberties.""Extraordinary rendition by the United States "
