, Austria, Belgium, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Luxembourg, Moldova, Netherlands, Norway, Poland, Portugal, Romania, Russia Belarus, Slovakia, Slovenia, Spain, Sweden, Switzerland Liechtenstein, Turkey, Ukraine, UK, Åland
Give Way ahead, IMG IMG, IMG, IMG IMG, IMG, IMG, IMG, IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG DEBUTIMAGE
Stop ahead, IMG IMG, IMG, IMG IMG, IMG, IMG, IMG, IMG, IMG IMG, , IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG IMG, IMG DEBUTIMAGE
Traffic signals ahead, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG or IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, DEBUTIMAGE
Roundabout ahead, IMG, NOT USED, IMG, IMG, IMG, IMG, IMG, NOT USED, IMG, IMG, IMG, IMG or IMG (mini- roundabout), IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG DEFUNCT, IMG, IMG, IMG, REPLACED by sign No. 4.54, IMG, IMG, IMG, DEBUTIMAGE
Two-way traffic ahead, IMG, IMG, IMG, IMG, IMG or IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG or IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG or IMG, DEBUTIMAGE
Traffic queues likely ahead, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, NOT USED, , IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG IMG, NOT USED
Level crossing without barriers ahead, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, NOT USED, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, NOT USED
Level crossing with barriers ahead, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG (until 2022), IMG, IMG, NOT USED, IMG or IMG (no lights), IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG DEFUNCT, IMG, IMG, IMG, IMG, IMG, IMG, IMG, NOT USED
Level crossing (one track), IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG (overhead wires), IMG, IMG, NOT USED, NOT USED, IMG, , IMG, IMG, IMG, IMG, IMG, IMG and IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG, IMG (ungated), NOT USED
Level crossing (multiple tracks), IMG, IMG, IMG, IMG, IMG, IMG, , NOT USED, IMG, IMG, NOT USED, NOT USED, IMG, , IMG, IMG, IMG, IMG, IMG, IMG and IMG, IMG, IMG DEFUNCT, IMG, IMG, IMG, IMG DEFUNCT, IMG, IMG, IMG (ungated) DEFUNCT, NOT USED
