Name,Operating system(s),Source code language(s),Programming (plugin) API language(s),Other technical features
Bidule," Mac OS X, Mac OS X ",C++,C++,Audio Stream Input/Output/ CoreAudio (Mac)/ Audio Stream Input/Output support. Possible to write custom modules via API if Audio Stream Input/Output accepted.
ChucK," Mac OS X, Mac OS X, Mac OS X ",C++,," Unified timing mechanism (no separation between audio-rate and control-rate), Command-line access "
Csound," Mac OS X, Mac OS X, Mac OS X "," C (programming language), C (programming language) "," C (programming language); also C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language) "," IDE (QuteCsound), multitrack interface (blue); several analysis/resynthesis facilities; can compute double-precision audio; Python (programming language) and Python (programming language) Python (programming language) library; multi-threaded processing "
Impromptu (programming environment),Mac OS X," Lisp (programming language), Lisp (programming language), Lisp (programming language) "," C (programming language), C (programming language), C (programming language), C (programming language) "," Native access to most OS X APIs including Core Image, Core Image, Core Image and Core Image. Impromptu also includes its own statically typed (inferencing) systems language for heavy numeric processing - OpenGL, RT AudioDSP etc.. "
Kyma (sound design language)," Mac OS X, Mac OS X "," Smalltalk, Smalltalk, Smalltalk ",Smalltalk," The Kyma hardware processes user algorithms at Sample rate, as opposed to a vector of samplesSample rate Kyma has a Sample rate resolution of .0026 Sample rate, and large multi-dimensional arrays can be transferred through spectral algorithms at the speed of a single Sample rate. "
Max/MSP," Mac OS X, Mac OS X "," C (programming language), C (programming language) "," C (programming language), C (programming language), C (programming language), also C (programming language) and C (programming language) via externals ",
Pure Data," Mac OS X, Mac OS X, Mac OS X, Mac OS X, Mac OS X ",C (programming language)," C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), others ",
Reaktor," Mac OS X, Mac OS X ",,,
SuperCollider," Mac OS X, Mac OS X, Mac OS X, Mac OS X "," C (programming language), C (programming language), C (programming language) ",C++," Client-server architecture; client and server can be used independently, Client-server access "
Sporth (page does not exist)," Linux, Linux ",C (programming language)," C (programming language), C (programming language) "," Many frontends built using the API exist, including Chuck (API) (page does not exist), Chuck (API) (page does not exist), and Chuck (API) (page does not exist) "
SynthEdit," Windows, Windows ",C++,C++,
VCV Rack," Mac OS X, Mac OS X, Mac OS X ",C++,C++,
