Company,Software,On-demand scan,Real-time protection,Firewall (computing),Antispam,Web protection,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,Software license,Price,First release,Country of origin,Notes
Dr. Web,Dr. Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary software,Trialware,2015,Russia,
Kaspersky Lab,Kaspersky Mobile Security,No,No,No,No,No,Yes,Yes,No,No,Yes,Proprietary software,Non-free,2008,Russia,Banned by Federal government of the United States
McAfee,McAfee,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Proprietary software,Non-free,2011,United States,
