, 2001[153], 2002[154], 2003[155], 2004[156], 2005[157], 2006[158], 2007[159], 2008[160], 2009[161], 2010[162], Total
IMG China, 1, 5, 7, 8, 5, 6, 9, 11, 6, 15, 73
IMG Japan, 1, 3, 3, -, 2, 6, 2, 1, 3, 2, 23
IMG India, 2, 1, 2, 1, 1, 1, 3, 3, 2, 3, 19
IMG Israel, -, 1, -, 1, -, -, 1, -, -, 1, 4
IMG Iran, -, -, -, -, -, -, -, 1, 1, -, 2
IMG South Korea, -, -, -, -, -, -, -, -, 1, 1, 2
IMG North Korea, -, -, -, -, -, -, -, -, 1, -, 1
Total, 4, 10, 12, 10, 8, 13, 15, 16, 14, 22, 124
