,,,Ultra HD Blu-ray,Blu-ray Disc,HD DVD,CBHD (CBHD),AVCHD,AVCREC,DVD-Video
Laser Laser,,,,405 Nanometre (blue-violet laser),,,405 or 650 nm,650 nm (red laser),
Numerical aperture,,,,0.85,0.65,,0.85 or 0.6,0.6,
Storage capacity (single side),,per layer/maximum,100 GB,25(50)/128 GB[a],15/30 GB[a],," 1.4/2.6 GB (8 cm DVD), 4.7/8.5 GB (12 cm DVD), 25/50 GB (12 cm BD)  ",4.7/8.5 GB,
Maximum Bitrate,Raw data transfer,,128 Mbit/s,53.95 Mbit/s,36.55 Mbit/s,,Unknown,,11.08 Mbit/s
Audio+Video+Subtitles,,,48.0 Mbit/s,30.24 Mbit/s,,27 Mbit/s,,10.08 Mbit/s
Video,,,40.0 Mbit/s,29.4 Mbit/s,,Unknown,,9.8 Mbit/s
Mandatory Video codec,,,H.265/MPEG-H Part 2,H.264/MPEG-4 AVC / H.264/MPEG-4 AVC / H.264/MPEG-4 AVC,,China's Audio Video Standard / Audio Video Standard / Audio Video Standard / Audio Video Standard,H.264/MPEG-4 AVC,H.264/MPEG-4 AVC H.264/MPEG-4 AVC,MPEG-1 / MPEG-1
,Audio codec (maximum data rates shown),Audio compression (data),Dolby Digital,TBD,Mandatory 640 kbit/s,Mandatory 504 kbit/s [1],,Mandatory 64-640 kbit/s,,Mandatory 448 kbit/s
,,,DTS Coherent Acoustics,TBD,Mandatory 1.5 Mbit/s,,Unknown,N/A,,Optional 1.5 Mbit/s
,,,Dolby Digital PlusDolby Digital Plus,TBD,Optional 1.7 Mbit/s,Mandatory 3.0 Mbit/s,,N/A,,N/A
,,,Digital Theater System,TBD,Optional 6.0 Mbit/s,Optional 3.0 Mbit/s,Unknown,N/A,,N/A
,,Audio compression (data),Linear pulse code modulationLinear pulse code modulation,TBD,Mandatory,,,Optional,,
,,,Dolby TrueHDDolby TrueHD,TBD,Optional 18 Mbit/s,Mandatory 18 Mbit/s,,N/A,,N/A
,,,DTS-HD Master AudioDTS-HD Master Audio,TBD,Optional 24.5 Mbit/s,Optional 18 Mbit/s,Unknown,N/A,,N/A
Secondary video decoder (Picture-in-picture),,,TBD,Mandatory for Blu-ray Disc playersBlu-ray Disc,Mandatory,Unknown,Unknown,,N/A
Secondary audio decoder,,,TBD,Mandatory for Blu-ray Disc playersBlu-ray Disc,Mandatory,Unknown,Unknown,,Optional
Interactivity,,,TBD,BDMV and BD-J,Standard Content and Advanced Content,CETC,Rudimentary,,
Internet support,,,TBD,Mandatory for Blu-ray Disc players,Mandatory,Unknown,N/A,,
Image resolution (maximum),,,Ultra-high-definition television 3840×2160,1920×1080p,,,,,720×480 (NTSC) 720×576 (NTSC)
Frame rate at maximum resolution,,,High frame rate 60p," Progressive scan, Progressive scanProgressive scanProgressive scan "," 24/25/30p, 50/60i ",," 24/25/30p, 50/60i ",Unknown,24/25/30p[g] 50/60i
Dynamic range video,,,HDR10 / HDR10+ / SL-HDR2,Standard-dynamic-range video,,,,,
Color space,,,Rec. 2020,,,,,,
Digital Rights Management,,,,Advanced Access Content System-128bit / Advanced Access Content System / Advanced Access Content System,Advanced Access Content System-128bit,Advanced Access Content System-128bit / DKAA,None (Not intended for prerecorded content),,Content Scramble System 40-bit
Regional lockout,,,,Blu-ray DiscBlu-ray Disc,None,Unknown,None,,DVD region code (6 commercial)
Anti-scratch coating,,,TBD,Mandatory,Optional,,,,
