Name,Computer architecture supported,File system supported,Kernel (computing) type,Source lines of code,Graphical user interface default is onGraphical user interface,Package management system,Update management,Native Application programming interfaceApplication programming interface,Non-native APIs supported through subsystems
AIX operating system," IBM POWER Instruction Set Architecture, IBM POWER Instruction Set Architecture, IBM POWER Instruction Set Architecture, IBM POWER Instruction Set Architecture "," IBM Journaled File System 2 (JFS2), IBM Journaled File System 2 (JFS2), IBM Journaled File System 2 (JFS2), IBM Journaled File System 2 (JFS2), IBM Journaled File System 2 (JFS2), IBM Journaled File System 2 (JFS2), IBM Journaled File System 2 (JFS2) ",Monolithic kernel with Monolithic kernel,,No," installp, RPM Package Manager ",Service Update Management Assistant (SUMA),System V/System V,
AmigaOS Classic," 68k, 68k "," Proprietary (Amiga Old File System, Amiga Old File System, Amiga Old File System, Amiga Old File System), Amiga Old File System, ISO 9660, UDF, many others via 3rd party drivers, such as Amiga Old File System, etc. ",Microkernel,,Yes,AmigaOSAmigaOS (almost not needed)AmigaOS,,Proprietary,Berkeley Software Distribution subset (available through 3rd party Berkeley Software Distribution)
AmigaOS 4,PowerPC," Proprietary (OFS, FFS, SFS, PFS), JXFS, FAT, ISO 9660, UDF, many others via 3rd party drivers, such as SMBFS, etc. ",Microkernel,,Yes,Installer[t 3] (almost not needed)[t 4],AmiUpdate (almost not needed)[t 5],Proprietary,BSD subset (available through 3rd party Ixemul.library)
Chrome OS," ARM architecture, ARM architecture, ARM architecture "," ECryptfs, ECryptfs, ECryptfs, ECryptfs, ECryptfs, ECryptfs, ECryptfs, ECryptfs, ECryptfs, ECryptfs, ECryptfs (read and write), ECryptfs (read-only), ECryptfs (read-only) ",Monolithic with modules,≈17 million[13],Yes,Portage (software),,Linux/POSIX,
DragonFly BSD,X86-64," Unix file system, MFS, Unix file system, Unix file system, Unix file system, Unix file system ",Hybrid kernel,,No," Ports collection, pkg "," git, cvsup, rsync, pkg ",BSD/POSIX," Mono, Java, Win16,Win32 Win32,Win32 Linux "
EComStation,IA-32," High Performance File System (default), FAT, High Performance File System, UDF, High Performance File System, High Performance File System (read only) ",Hybrid,,Yes," WarpIN, Feature Install, others ",Maintenance Tool," Proprietary, DOS API, Win16 "," POSIX, Java (programming language), others "
FreeBSD," IA-32, IA-32, IA-32, IA-32, IA-32, IA-32 "," Unix file system, Unix file system, Unix file system, Unix file system, Unix file system, Unix file system, UDF, Unix file system, others ",Monolithic with modules,6.25 million[14],No," Ports collection, packages "," by source, network binary update (freebsdupdate) ",BSD/POSIX," Mono, Java, Win16,Win32 Win32,Win32 Linux "
Genode," ARM architecture, ARM architecture, ARM architecture, ARM architecture "," Ext2, Ext2, Ext2, Ext2 ",Microkernel or Microkernel," ≈300,000[ Wikipedia:Citation needed ] ",No,Custom,None,Genode," POSIX, Qt, SDL, MirageOSMirageOS "
GhostBSD," IA-32, IA-32 "," Unix file system, Unix file system, Unix file system, FAT, ISO 9660, UDF, NFS, Unix file system (read only), Unix file system (experimental), Unix file system, others ",Monolithic with modules,,Yes," Ports collection, packages "," by source, network binary update (freebsdupdate) ",BSD/POSIX," Mono, Java, Win16,Win32 Win32,Win32 Linux "
Linux," IA-32, x86-64, ARM, PowerPC, SPARC, Linux kernel "," ext2, ext3, Ext4, Ext4, ReiserFS, FAT, ISO 9660, UDF, NFS, and others ",Monolithic with modules,≈15 million (kernel)Userland (computing) lines of code for Userland (computing) libraries and applications vary depending on the distribution,Yes,Depends on the distribution,,Linux/POSIX," Mono, Java, Win16,[t 6] Win32[t 6] "
Haiku (operating system)," IA-32, PowerPC, x86-64 "," Be File System (default), FAT, ISO 9660, ext3, NTFS ",Hybrid,≈5.2 million[ Wikipedia:Citation needed ],Yes,Ports collection (haikuport)," pkgman, HaikuDepot "," POSIX, BeOS API "," Java, Qt "
HP-UX," PA-RISC, PA-RISC "," VxFS, VxFS, VxFS, VxFS, VxFS, VxFS ",Monolithic with modules,,No," Software Distributor, swinstall ",swa (HP-UX Software Assistant),SysV/POSIX,
Inferno (operating system)," IA-32, PowerPC, SPARC, DEC Alpha, DEC Alpha, others "," Styx (protocol)/Styx (protocol), kfs, FAT, ISO 9660 "," Monolithic with modules, User space file systems ",,Yes,?,?,Proprietary,
IOS,ARM architecture," HFS Plus (prior to version 10.3), HFS Plus (since version 10.3), HFS Plus[ HFS Plus ] ",Hybrid,≈80 million[ Wikipedia:Citation needed ],Yes,?,Software Update," Cocoa (software), BSD-POSIX ",?
Classic Mac OS," 68k, PowerPC "," HFS Plus, HFS Plus, HFS Plus (Mac OS 8.0 and before), HFS Plus, ISO 9660, FAT(System 7 and later), UDF ",Monolithic with modules,,Yes,None,Apple Software Update (only in Mac OS 9)," Macintosh Toolbox, Macintosh Toolbox (from version 8.1) ",
