Client (computing),IRCd,UTF-8,Proxy server,irc:// URI scheme,Automatic Software update,Scripting language,Push notifications
AndroidChat,?,?,?,?,?,?,?
Mobile Colloquy,Yes,Yes,No,Yes,Yes,No,Yes
FIRC (page does not exist),?,?,?,?,?,?,?
JmIrc (page does not exist),No,Yes,Yes,No,No,Yes,?
K-IRC (page does not exist),No,No,No,No,No,No,?
Virca (page does not exist),?,Yes,?,?,No,?,?
WIRC (software) (page does not exist),?,?,Yes,?,?,?,?
WLIrc,?,No,?,?,No,?,?
Yaaic,Yes,Yes,No,No,Yes,No,?
Simple IRC,Yes,Yes,No,No,No,No,Yes
ZsIRC,Yes,Yes,No,No,Yes,No,?
