Template:Table of current Macintosh models Template:Table of current Macintosh models Template:Table of current Macintosh models,Consumer,,Professional,
Laptop," MacBook Air  13.3"" (retina) model; uses MacBook Air, MacBook Air, or MacBook Air processors ",," MacBook Pro MacBook Pro 13.3"" (retina MacBook Pro) and 16"" (retina P3) models; use MacBook Pro, MacBook Pro, or MacBook Pro processors ",
Desktop computer," Mac Mini Mac Mini Entry-level desktop; uses Mac Mini, Mac Mini, or Mac Mini processors "," IMac (Intel-based) IMac (Intel-based) 21.5"" (non-retina and IMac (Intel-based) P3) and 27"" (IMac (Intel-based) P3) models; use IMac (Intel-based), IMac (Intel-based), IMac (Intel-based) or IMac (Intel-based) processors "," IMac Pro IMac Pro 27"" (5K P3) model; uses IMac Pro processors ",Mac Pro Mac Pro Customizable workstation desktop; uses Mac Pro processors
