Date,Nation,Name,Asian First,World achievements
4 October 1957,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union (now under //upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union),Baikonur Cosmodrome,Satellite Satellite," The first satellite, Sputnik 1, was launched. "
11 February 1970,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Ohsumi (satellite),Satellite," The smallest satellite launch vehicle (Lambda (rocket); 9.4t weight, 1.4m diameter) "
24 February 1975,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Taiyo,Category:Missions to the Sun,
26 October 1975,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Fanhui Shi Weixing-0,Atmospheric reentryAtmospheric reentry,
26 October 1975,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Fanhui Shi Weixing-0:   – 10m (1975)  Fanhui Shi Weixing:   – 4m (1992)Fanhui Shi Weixing Fanhui Shi Weixing:   – 0.5m (till 2007)Fanhui Shi Weixing,Satellite imagery,
8 July 1976,//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/23px-Flag_of_Indonesia.svg.png Indonesia,Palapa,Geosynchronous satellite (launched by NASA),
23 February 1977,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,N-I (rocket),Geosynchronous launch,
21 February 1979,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Hakucho,Space observatory,
23 July 1980,//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Vietnam.svg/23px-Flag_of_Vietnam.svg.png Vietnam,Phạm Tuân,Asian in space (Soyuz 37),
20 September 1981,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Feng Bao 1,Simultaneous satellite launch[71],
8 January 1985,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Sakigake,Leaving Earth orbit,The first interplanetary launch by Comparison of solid fuel lift launch systems (Comparison of solid fuel lift launch systems)
19 March 1990,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Hiten,Reach Lunar orbit (assumed),
7 April 1990,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Long March 3,Commercial launch (AsiaSat),
10 April 1993,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Hiten,Intentional lunar impact,The first Aerobraking testAerobraking
8 July 1994,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Chiaki Mukai,Asian woman in space (STS-65),
19 November 1997,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Takao Doi,Extra-vehicular activity (Extra-vehicular activity),
28 November 1997,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,ETS-VII,Space rendezvous,
3 July 1998,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Nozomi (probe),Exploration of Mars (Failure),
30 October 2000,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Beidou navigation system,Satellite navigation system,
10 September 2002,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Kodama[73],TDRS (with TDRS),
15 October 2003,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Yang Liwei,First man in space launched by an Asian space program,
15 October 2003,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Shenzhou spacecraft,Human spaceflight,
19 November 2005,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Hayabusa,Soft-landed probe on extraterrestrial object," The first asteroid ascent, sample return from an asteroid "
11 January 2007,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Fengyun,2007 Chinese anti-satellite missile test," Highest in history with altitude 865 km, also the fastest with speed 18k miles "
23 February 2008,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,WINDS,Satellite Internet access,The fastest internet satellite[74]
11 March 2008,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Japanese Experiment Module," Manned foundations in space (STS-123, STS-123, STS-123) ",The world's largest pressurized volume in space[75]
25 April 2008,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Tianlian I,Indigenous Tracking and Data Relay Satellite System  First TDRS system to support crewed missions,
27 September 2008,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Zhai Zhigang (Zhai Zhigang),Indigenous Extra-vehicular activity,
27 September 2008,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,BanXing,Crewed spacecraft-launched satellite,
14 November 2008,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Moon Impact Probe,Probe designed for Moon landing,Discovered water on the Moon before impact.[76][77]
23 January 2009,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,GOSAT,Greenhouse gas explorerGreenhouse gas,
20 May 2010,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,Akatsuki (spacecraft),First Asian Observations and explorations of Venus,
21 May 2010,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,IKAROS,Solar sail,The first spacecraft to successfully demonstrate solar-sail technology in interplanetary space
25 August 2011,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Chang'e 2,Lunar probe with extended deep space missions (asteroid mission to 4179 Toutatis).,
29 September 2011,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Tiangong-1,First independent Asian Space station,
18 June 2012,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Shenzhou 9,First crewed space docking by an Asian country (with Tiangong-1),
14 December 2013,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Chang'e 3/Chang'e 3,First lunar soft landing and Lunar rover by an Asian country.,First lunar soft landing in 21st century
24 September 2014,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Mars Orbiter Mission,First successful Exploration of Mars by an Asian country,First Martian mission by a country to succeed on the first attempt. Third country to do so after the USSR and the USA.
15 February 2017,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,PSLV-C37,First to successfully launch and deploy 104 satellites simultaneously from a single rocket (PSLV -C37).[79][80],First country in the world to launch more than 100 satellites at one go.
3 January 2019,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Chang'e 4,First soft landing on the Far side of the Moon,First soft landing on the far side of the Moon by any country. Landed with Yutu-2 rover.
