File extension(s)File extension,MIME typeMIME,Official name[3],Creation platform[4],Restoration platform[7],Restorable with Free softwareFree software,Description
.7z,application/x-7z-compressed,7z (file format),Multiple,Multiple,Yes,Open source file format. Used by 7-Zip.
.s7z,application/x-7z-compressed,7zX,MacOS," MacOS, restoration on different platforms is possible although not immediate ",Yes," Based on 7z. Preserves Spotlight metadata, resource forks, owner/group information, dates and other data which would be otherwise lost with compression. Made obsolete by the introduction of AppleDouble-encoded 7z archives (Macintosh only).  "
.ace,application/x-ace-compressed,ACE (compression file format),Microsoft Windows,Multiple,Yes,Proprietary format
.afa,application/x-astrotite-afa,AFA,UNIX-like,UNIX-like,No," A format that compresses and doubly encrypt the data (AES256 and CAS256) avoiding brute force attacks, also hide files in an Afa (file format) (page does not exist) file. It has two ways to safeguard data integrity and subsequent repair of the file if has an error (repair with AstroA2P (online) or Astrotite (offline)). "
.alz,application/x-alz-compressed,ALZip,Microsoft Windows,Multiple,Yes,A mainly Korean format designed for very large archives.
.apk,application/vnd.android.package-archive,APK (file format),Multiple,Multiple,Yes,Android (operating system) application package (variant of Android (operating system)).
" .arc, .ark ",application/octet-stream,ARC (file format),Multiple,Multiple,Yes," Very popular in the early days of Bulletin board system, one of the first to offer compression and archiving in a single program. Largely replaced by PKZIP. "
" .arc, .cdx ",application/x-freearc,FreeArc," Microsoft Windows, Microsoft Windows "," Microsoft Windows, Microsoft Windows ",Yes," Open source file format developed by Bulat Ziganshin. A ""FreeArc Next"" version is under development which includes Zstandard support. "
.arj,application/x-arj,ARJ," Originally DOS, now multiple ",Multiple,Yes," Competitor to PKZIP in the 1990s, offered better multi-part archive handling. "
.b1,application/x-b1,B1 (archive format),Multiple,Multiple,Yes," Open archive format, used by B1 Free Archiver (B1 Free Archiver) "
.b6z,,B6Z,MacOS,Multiple,Yes,Compressed archive format B6Zip
.ba,,Scifer,Multiple,Multiple,Yes,Binary Archive with external header
.bh,,BlakHole,,,Yes,Proprietary format from the ZipTV Compression Components
.cab,application/vnd.ms-cab-compressed,Cabinet (file format),Microsoft Windows,Multiple,Yes," The Microsoft Windows native archive format, which is also used by many commercial installers such as Microsoft Windows. "
.car,,Compressia archive," Originally DOS, now DOS and DOS "," Originally DOS, now DOS and DOS ",Yes," Created by Yaakov Gringeler; released last in 2003 (Compressia 1.0.0.1 beta), now apparently defunct. Free trial of 30 days lets user create and extract archives; after that it is possible to extract, but not to create. "
.cfs,application/x-cfs-compressed,CFS (Compact File Set file format)," Microsoft Windows, Microsoft Windows including Microsoft Windows ",Multiple,Yes,Open source file format.
.cpt,,Compact Pro,Classic Mac OS,Multiple,Yes," Compact Pro archive, a common archiver used on Mac platforms until about Mac OS 7.5.x. Competed with StuffIt; now obsolete. "
.dar,application/x-dar,DAR (Disk Archiver),Unix-like including Unix-like," Unix-like including Unix-like, Unix-like ",Yes," Open source file format. Files are compressed individually with either gzip, bzip2 or lzo. "
.dd,,DiskDoubler,Classic Mac OS,,,obsolete
.dgc,application/x-dgc-compressed,DGCA (Computing),Microsoft Windows,Microsoft Windows,,
.dmg,application/x-apple-diskimage,Apple Disk Image,MacOS," MacOS, MacOS, MacOS ",Yes," Supports ""Internet-enabled"" disk images, which, once downloaded, are automatically decompressed, mounted, have the contents extracted, and thrown away. Currently, Safari (web browser) is the only browser that supports this form of extraction; however, the images can be manually extracted as well. This format can also be password-protected or encrypted with 128-bit or 256-bit AES encryption. "
.ear,,EAR (file format),Multiple,Multiple,Yes,Enterprise Java Archive archive
.gca,application/x-gca-compressed,GCA,,,,The predecessor of DGCA.
.ha,,[2],Originally DOS,Originally DOS," Yes, but may be covered by patents ",DOS era format; uses arithmetic/Markov coding
.hki,,WinHKI,MS Windows,MS Windows,No,HKI
.ice,,ICE,Microsoft Windows,Microsoft Windows,Yes,Produced by ICEOWS (page does not exist) program. Excels at text file compression.
.jar,application/java-archive,JAR (file format),Multiple,Multiple,Yes," Java archive, compatible with ZIP (file format) files "
.kgb,,KGB Archiver,Multiple,Multiple,Yes,Open sourced archiver with compression using the PAQ family of algorithms and optional encryption.
" .lzh, .lha ",application/x-lzh,LHA (file format)," Originally DOS, now multiple ",Multiple,Yes,The standard format on Amiga.
.lzx,application/x-lzx,LZX,Amiga,,,Archiver originally used on The Amiga. Now copied by Microsoft to use in their .cab and .chm files.
.pak,,PAK (file format),HP NonStop (page does not exist),HP NonStop (page does not exist),Yes[9]," file format from NoGate Consultings (page does not exist), a rival from ARC-Compressor. .pak was also briefly used by the short lived MSDOS PKPAK program.  "
.partimg,,PartImage,Multiple,Multiple,Yes,A disk image archive format that supports several compression methods as well as splitting the archive into smaller pieces.
" .paq6, .paq7, .paq8 and variants ",,PAQ,Unix-like and Unix-like,Unix-like and Unix-like,Yes,An experimental open source packager (http://mattmahoney.net/dc)
.pea,,Peazip,Linux and Linux,Linux and Linux,Yes," Open source archiver supporting authenticated encryption, cascaded encryption, volume spanning, customizable object level and volume level integrity checks (form Cyclic redundancy check to Cyclic redundancy check and Cyclic redundancy check hashes), fast deflate based compression "
.pim,,PIM,Microsoft Windows,Microsoft Windows,Yes," The format from the PIM - a freeware compression tool by Ilia Muraviev. It uses an LZP-based compression algorithm with set of filters for executable, image and audio files. "
.pit,,PackIt,Classic Mac OS,,,obsolete
.qda,,Quadruple D,Microsoft Windows,Microsoft Windows,,Used for data in games written using the Quadruple D library for Embarcadero Delphi. Uses Embarcadero Delphi.
.rar,application/x-rar-compressed,RAR (file format)," Originally DOS, now multiple ",Multiple,Yes," A Proprietary format archive format, second in popularity to .zip files. "
.rk,,RK and WinRK [3],Multiple,Multiple,No," The format from a commercial archiving package. Odd among commercial packages in that they focus on incorporating experimental algorithms with the highest possible compression (at the expense of speed and memory), such as PAQ, PAQ and PPMZ (PPMD with unlimited-length strings), as well as a proprietary algorithms. "
.sda,,Self Dissolving ARChive," Commodore 64, Commodore 128 "," Commodore 64, Commodore 128 ",Yes," SDAs refer to Self Dissolving ARC files, and are based on the Commodore 64 and Commodore 128 versions of ARC, originally written by Chris Smeets. While the files share the same extension, they are not compatible between platforms. That is, an SDA created on a Commodore 64 but run on a Commodore 128 in Commodore 128 mode will crash the machine, and vice versa. The intended successor to SDA is SFX. "
