Kernel name,Intel,NVIDIA,AMD,ARM,Qualcomm,Imagination Technologies,Broadcom,Vivante Corporation
,Intel HD and Iris Graphics,GeForce/Quadro/Tesla,Radeon,Mali,Adreno,PowerVR,VideoCore4,Vivante
Linux kernel,Yes,Yes,Yes,Yes,Yes,2D only[36][37],Yes,Etnaviv
Windows NT kernel,Yes,Yes,Yes,?," Windows RT, Windows Phone 8.x, Windows 10 Mobile (page does not exist) ",?,?,?
XNU,via I/O Kit (MacOS only),,,No,No,via I/O Kit (IOS only),No,No
