Title,Publisher,First published,Latest edition,Year,Pages,Usage examples (approx.),Main dialect
Cambridge Advanced Learner's Dictionary,Cambridge University Press,2003[3],4th ( International Standard Book Number International Standard Book Number),2013," 1,856 "," 140,000 ",British English
Collins COBUILD Advanced Dictionary,COBUILD,1987,9th ( International Standard Book Number International Standard Book Number),2018," 1,904 ",,British English
Longman Dictionary of Contemporary English,Pearson-Longman,1978,6th ( International Standard Book Number International Standard Book Number),2014," 2,224 "," 165,000 ",British English
Macmillan English Dictionary for Advanced Learners,Macmillan Education,2002,2nd ( International Standard Book Number International Standard Book Number),2012," 1,748 ",,British English
Merriam-Webster's Advanced Learner's English Dictionary,Merriam-Webster,2008,2nd ( International Standard Book Number International Standard Book Number),2016," 1,994 "," 160,000 ",American English
Oxford Advanced Learner's Dictionary,Oxford University Press,1948,8th ( International Standard Book Number International Standard Book Number),2010," 1,796 "," 185,000 ",British English
