Product,total # of formats,.cbr/.cbz,.chm,.djvu,.epub,.fb2,.html,.mobi,.pdb,.pdf,.rtf,.txt
Apabi Reader (page does not exist),3,No,No,No,Yes,No,No,No,No,Yes,No,Yes
Blio,2,No,No,No,Yes,No,No,No,No,Yes,No,No
Bluefire Reader,2,No,No,No,Yes,No,No,No,No,Yes,No,No
DL Reader (page does not exist),2,No,No,No,Yes,No,No,No,No,Yes,No,No
EBookMobi (page does not exist),10+,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Ebook Reader (page does not exist),2,No,No,No,Yes,No,No,No,No,Yes,No,No
I2Reader (page does not exist),6+,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
IBooks,2,No,No,No,Yes,No,No,No,No,Yes,No,No
Amazon Kindle,2,No,No,No,No,No,No,Yes,No,Yes,No,No
Kobo eReader,2,No,No,No,Yes,No,No,No,No,Yes,No,No
KyBook,8,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
KyBook 2,16,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
MapleRead,2,No,No,No,Yes,No,No,No,No,Yes,No,No
Marvin,2,Yes,No,No,Yes,No,No,No,No,No,No,No
MegaReader (page does not exist),1,No,No,No,Yes,No,No,No,No,No,No,No
PocketBook reader (page does not exist),8+,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
ShuBook (page does not exist),5+,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
Lexcycle Stanza,5+,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No
UBooks XL (page does not exist),5,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
IBouquiniste (page does not exist),5,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes
