Kernel name,CRC32,CRC32c,MD2 (cryptography),MD4,MD5,SHA-1,SHA-2,SHA-3,Michael MIC (page does not exist),Poly1305,RIPEMD,RIPEMD,RIPEMD,RIPEMD,Tiger (cryptography),Whirlpool (cryptography),HMAC,MDC2,GOST (hash function),LASH (cryptography) (page does not exist),VMAC
Linux,Yes[40][41],Yes[42],No,Yes[43],Yes[44],Yes[45],Yes[46],Partial[47],Yes[48],Yes[49],Yes[50],Yes[51],Yes[52],Yes[53],Yes[54],Yes[55],Yes[56],No,No,No,Yes[57]
Solaris kernel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?,Yes,?,?,Yes,?,Yes,Yes,?,?,?
Windows NT kernel,?,?,Yes,Yes,Yes,Yes,Yes,?,No,?,No,No,No,No,No,No,Yes,No,No,No,?
FreeBSD kernel,Yes,Yes,?,Yes,Yes,Yes,Yes,?,?,?,?,Yes,?,?,Yes,?,Yes,?,?,?,?
XNU kernel,Yes,?,Yes,?,Yes,Yes,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
