Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config[a],Computer bus Computer bus,GPU cache GPU cache(GPU cache),Clock speeds,,,Memory,,,,FillrateFillrate,,Processing power (GFLOPS)GFLOPS,,,,Ray tracing (graphics) Performance,,Thermal design power (Watts)
,,,,,,,,,Base core clock (Hertz),Boost core clock (Hertz),Memory (Transfer (computing)),Size (Gibibyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit),Pixel (Pixel/s)Pixel,Texture (Texel (graphics)/s)Texel (graphics),Single precision floating-point format,Double precision floating-point format,Half precision floating-point format,Tensor compute (FP16),Rays/s (Billions),RTX OPS/s (Trillions),
GeForce MX230[157]," February 20, 2019 ",GP108 (N17S-G0),14,1.8,70,256:?:?,PCIe 3.0 x4,,1519,1531,7000,2 4,56,GDDR5,64,,,,,,N/A,N/A,N/A,
GeForce MX250[158],,GP108 (N17S-G2),,,,384:24:16,,,1518,1582,,,,,,24.3,36.4,1166,18,,,,,25
GeForce RTX 2060[159],,TU106,TSMC TSMC,10.8,445,1920:120:48:240:30 (30) (3),PCIe 3.0 x16,3,960,1200,14000,6,336.0,GDDR6 SDRAM,192,56,144,4608,144.0,9216,,,,80
GeForce RTX 2070[160],,TU106,,,,2304:144:64:288:36 (36) (3),,4,1215,1440,,8,448.0,,256,92.16,207.4,6636,207.4,13270,,,,115
GeForce RTX 2070 Max-Q[161],,TU106,,,,,,,885,1185,,,,,,75.84,170.6,5460,170.6,10920,,,,80
GeForce RTX 2080[162],29th Jan 2019,TU104,13.6,545,2944:184:64:368:46 (46) (6),1380,,,1590,101.8,,,,,,292.6,9362,292.6,18720,,,,150
GeForce RTX 2080 Max-Q[163],,TU104,,,,,,,735,1095,,8,,,,70.08,201.5,6447,201.5,12890,,,,80
