Model,Launch,Micro-archi-tecture,Core,Fab (nm),Computer bus Computer bus,Core clock (MHz),Memory clock (MHz),Core config,Fillrate,,Memory,,,,Processing power (GFLOPS),Application programming interface compliance (version),,,Notes
,,,,,,,,,Pixel (Pixel/s),Texture (Texel (graphics)/s),Size (Megabyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit),Single precision floating-point format,Direct3D,OpenGL,Vulkan (API),
FireGL 8700,2001,R200,Radeon R200,150,Accelerated Graphics Port,250,270,2:4:8:41,1,2,64,8.64,DDR,64 × 2,Unknown,8.1,1.4,N/A,
FireGL 8800,,,,,,300,290,,1.2,2.4,128,9.28,,,Unknown,,,,
FireGL T2-64,2003,R300,Radeon R300,130,,325,200,2:4:4:41,1.3,1.3,64,6.4,,128,Unknown,9.0,2.0,,
FireGL T2-128,,,,,,400,320,,1.6,1.6,128,10.2,,,Unknown,,,,
FireGL Z1-128,2002,,Radeon R300,150,,325,310,4:4:4:41,1.3,1.3,,19.8,256,Unknown,,,
FireGL X1-128,,,Radeon R300,,,,,4:8:8:81,2.6,2.6,,,,Unknown,,,
FireGL X1-256,,,Radeon R300,,,,,,,,,,,Accelerated Graphics Port,325,,,,,256,Unknown
FireGL X2-256,2003,,Radeon R300,,,,,,AGP,380,350,3.04,,3.04,22.4,,,,,,DDR2,Unknown
FireGL X2-256T,,,Radeon R300,,,,,,,412,344,3.3,,3.3,22.0,,,,,,,Unknown
FireGL X3-256,2004,,Radeon R420,,,,,,,130,450,450,,6:12:12:121,5.4,5.4,28.8,GDDR3,Unknown,9.0b
FireGL V3100,2005,,Radeon R300,110,PCI Express x16,400,200,2:4:4:41,1.6,1.6,128,6.4,DDR,128,Unknown,9.0
FireGL V3200,,,Radeon R300,130,,500,400,,2,2,,12.8,DDR2,,Unknown,9.0b
FireGL V3300,2006,R500,Radeon R520,90,,600,,,2.4,2.4,128,6.4,GDDR2,64,Unknown,9.0c
FireGL V3350,,,,,,,,,,,256,,,,Unknown,
FireGL V3400,,,Radeon R520,,500,500,5:12:4:41,2,2,128,16.0,GDDR3,128,Unknown
FireGL V3600[160],2007,Tera-Scale 1," RV630 GL, Radeon R600 ",65,600,500,1202(24×5):8:4:3,2.4,4.8,256,,,,144,10,,3.3," Shader Model 4.0, APP Stream "
FireGL V5000,2005,R400,Radeon R420,130,425,430,6:8:8:81,3.4,3.4,128,13.6,,,Unknown,9.0b,2.0,
FireGL V5100,,,Radeon R420,,450,350,6:12:12:121,5.4,5.4,,22.4,DDR SDRAM,256,Unknown,,,
FireGL V5200,,R500,Radeon R520,90,600,700,5:12:4:41,2.4,2.4,256,22.4,GDDR3,128,Unknown,9.0c,,
FireGL V5600[161],2007,Tera-Scale 1," R630 GL, Radeon R600 ",65,PCIe,800,1100,1202(24×5):8:4:3,3.2,6.4,512,35.2,,GDDR4,192,10,3.3," Shader Model 4.0, APP Stream "
FireGL V7100,2005,R400,Radeon R420,130,,500,450,6:16:16:161,8,8,256,28.8,GDDR3,256,Unknown,9.0c,2.0,
FireGL V7200,2006,R500,Radeon R520,90,PCIe x16,600,650,,9.6,9.6,,41.6,,,Unknown,,,
FireGL V7300[162],,," R520 GL, Radeon R520 ",,PCIe,,,,,,,,,,512,,,,Unknown
FireGL V7350[163],,,,,,,,,,,,,,,1024,,,,Unknown
FireGL V7400,2006 (Canceled),Radeon R520,80,,,550?,650?,8:36:16:161,19.8?,19.8?,512?,41.6?,,,Unknown,,," never released, superseded by 2007 series "
FireGL V7600[164],2007,Tera-Scale 1,,,," R600 GL, Radeon R600 ",600,800,2402(48×5):12:12:3,9.6,9.6,512,,,51.2,288,10,3.3," Shader Model 4.0, APP Stream "
FireGL V7700[165],2007 (2008),," R670 GL, Radeon HD 3000 series ",55,PCIe 2.0,775,1125,3202(64×5):16:16:4,12.4,12.4,72,,GDDR4,,496,10.1 (SM4.1),DisplayPort. Can do double precision computation via the AMD Stream SDK.,
FireGL V8600[166],2007,," R600 GL, Radeon R600 ",80,PCIe,688,868,3202(64×5):16:16:4,11.01,11.01,1024,,,111.1[167],512,440.32,10,," Shader Model 4.0, APP Stream "
FireGL V8650[168],,,,,,,,,,,2048,,,111.1,,,,,
