Analogous concepts and similar terms,,
Term,Cricket,Baseball
the least amount of running that can advance the team's score or scoring possibilities,Single (cricket),Single (baseball)
a hit ball that bounces and then leaves the field,Four (cricket),Ground rule double
a ball hit out of the ground without bouncing,Six (cricket),Home run
